row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_02_1F12_1.mzML Peak area,20260424_CVOL_Group_02_1F12_2.mzML Peak area,20260424_CVOL_Group_02_1F12_3.mzML Peak area,20260424_CVOL_Group_02_1F12_4.mzML Peak area,20260424_CVOL_Group_02_Control_LB.mzML Peak area,20260424_CVOL_Group_02_Delta_phzC_1.mzML Peak area,20260424_CVOL_Group_02_Delta_phzC_2.mzML Peak area,20260424_CVOL_Group_02_Delta_phzC_3.mzML Peak area,20260424_CVOL_Group_02_Delta_phzC_4.mzML Peak area,20260424_CVOL_Group_02_Delta_pvdE_1.mzML Peak area,20260424_CVOL_Group_02_Delta_pvdE_2.mzML Peak area,20260424_CVOL_Group_02_Delta_pvdE_3.mzML Peak area,20260424_CVOL_Group_02_Delta_pvdE_4.mzML Peak area,20260424_CVOL_Group_02_QC_01.mzML Peak area,20260424_CVOL_Group_02_QC_02.mzML Peak area,20260424_CVOL_Group_02_QC_03.mzML Peak area,20260424_CVOL_Group_02_QC_04.mzML Peak area,20260424_CVOL_Group_02_QC_05.mzML Peak area,20260424_CVOL_Group_02_QC_06.mzML Peak area,20260424_CVOL_Group_02_R47_1.mzML Peak area,20260424_CVOL_Group_02_R47_2.mzML Peak area,20260424_CVOL_Group_02_R47_3.mzML Peak area,20260424_CVOL_Group_02_R47_4.mzML Peak area,20260424_CVOL_bk_mapp_03.mzML Peak area,Unnamed: 37
1,266.12302481466554,0.41145018,height,,,,,,,,,,,863623.0,876758.75,853108.2,834706.94,988753.1,833339.94,816602.9,822294.4,827090.7,833859.25,859664.2,823647.94,822638.94,908590.94,849327.4,866786.56,800959.8,814940.6,838116.9,790603.8,816595.94,819542.94,850664.44,974890.8,
2,129.5944091069868,0.4664355,height,,,,,,,,,,,0.0,0.0,0.0,0.0,4050791.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,138.10759196209267,0.4664355,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1771102.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,142.58956589701805,0.4664355,height,,,,,,,,,,,0.0,0.0,0.0,0.0,7507860.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,266.6581090902948,0.46344253,height,,,,,,,,,,,0.0,0.0,0.0,0.0,5798667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1809824.6,2067149.9,1863909.1,2025530.8,1886860.9,1807151.1,0.0,0.0,0.0,0.0,0.0,
6,357.2132557572719,0.47087812,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331788.1,0.0,889534.1,1459425.2,0.0,1576276.1,2579081.2,1899027.1,2230310.0,1939783.1,1948129.1,0.0,0.0,0.0,0.0,0.0,
7,160.18082840693336,0.4763459,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1489352.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,234.1448336782919,0.4763459,height,,,,,,,,,,,0.0,0.0,0.0,0.0,4530947.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,248.160471036034,0.4763459,height,,,,,,,,,,,0.0,0.0,0.0,0.0,4288813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,276.1554656738091,0.47684327,height,,,,,,,,,,,0.0,0.0,0.0,0.0,4705745.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1692838.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,284.17167493762213,0.4763459,height,,,,,,,,,,,0.0,0.0,0.0,0.0,3596055.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,133.097238401664,0.48014143,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1466809.0,4916158.0,3800501.5,5544606.5,0.0,0.0,0.0,0.0,0.0,2972611.0,4207509.5,4000666.5,4025934.0,3880521.2,3787854.8,8222262.5,6779723.0,6686824.5,4285353.0,0.0,
13,130.08637099574025,0.4821238,height,,,,,,,,,,,0.0,0.0,0.0,0.0,56608612.0,6992043.5,5374176.0,6176555.0,1813951.8,0.0,0.0,0.0,1278388.5,7809917.0,9394562.0,9150622.0,10146725.0,8663885.0,7355860.0,9358190.0,7732890.0,7085526.0,5656475.0,0.0,
14,147.1128141915441,0.4817332,height,,,,,,,,,,,1852192.0,0.0,0.0,0.0,134243840.0,17224134.0,12137568.0,14962530.0,4346119.0,0.0,0.0,0.0,2821086.5,18060938.0,22785432.0,21798196.0,24088580.0,20898058.0,17320546.0,22586380.0,18515306.0,17144800.0,13702874.0,0.0,
15,146.16523603823342,0.49871653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,10562989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990241.1,0.0,950970.56,922754.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,243.1087830878016,0.48608536,height,,,,,,,,,,,0.0,0.0,0.0,0.0,4164529.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,156.07677418402554,0.48667437,height,,,,,,,,,,,0.0,0.0,0.0,0.0,13298302.0,7401766.0,7121490.0,7250500.5,7372818.0,2565598.0,3030416.8,2108039.2,5630939.5,6238770.5,7583441.0,7869499.5,6661531.0,7485651.0,5886522.5,5978499.0,5956129.5,5774098.5,6142882.5,0.0,
18,177.06101756166018,0.49779123,height,,,,,,,,,,,0.0,0.0,0.0,0.0,1928041.1,9545161.0,7818700.5,12258949.0,0.0,0.0,0.0,0.0,0.0,7463977.0,6743249.0,7396846.0,7254303.5,6847612.0,6812285.5,16566162.0,12446878.0,13271481.0,9057139.0,0.0,
19,191.07669455884687,0.4976008,height,,,,,,,,,,,1241255.4,0.0,0.0,0.0,63206010.0,12166544.0,9516805.0,11776330.0,3189095.0,0.0,0.0,0.0,2231001.2,15025872.0,14582673.0,16226412.0,15412566.0,13238097.0,13335896.0,15984840.0,12458397.0,12006153.0,9864250.0,0.0,
20,327.0514501100588,0.49764,height,,,,,,,,,,,0.0,0.0,0.0,0.0,45047564.0,9059077.0,7011758.5,8687470.0,2306767.8,0.0,0.0,0.0,1598706.6,11715323.0,10910614.0,12359773.0,11516697.0,11159139.0,11659123.0,11749017.0,9533682.0,9041344.0,7372387.5,0.0,
