SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00013576234	17	spectra_filtered.mgf	CMMC-FOOD-BIOMARKERS.mgf	0.998835	13729700.0	0	1.46647	7	0.000228882	156.077	1	temp/spectra_filtered.mgf17	1	histidine (known structural isomers: 0; isobaric peaks in run: 0)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Julius	[M+H]+	156.077	155.069	1	N/A	N/A	C1=C(NC=N1)C[C@@H](C(=O)O)N	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1 [M+H]+	1	Positive	CMMC-FOOD-BIOMARKERS	156.077	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H9N3O2	HNDVDQJCIGZPNO-YFKPBYRVSA-N	HNDVDQJCIGZPNO	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013576234
CCMSLIB00013576595	90	spectra_filtered.mgf	CMMC-FOOD-BIOMARKERS.mgf	0.998542	17690700.0	0	1.27094	6	0.000198364	156.077	1	temp/spectra_filtered.mgf90	1	histidine (known structural isomers: 0; isobaric peaks in run: 0)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Julius	[M+H]+	156.077	155.069	1	N/A	N/A	C1=C(NC=N1)C[C@@H](C(=O)O)N	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1 [M+H]+	1	Positive	CMMC-FOOD-BIOMARKERS	156.077	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H9N3O2	HNDVDQJCIGZPNO-YFKPBYRVSA-N	HNDVDQJCIGZPNO	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013576595
CCMSLIB00012357130	284	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.994774	65934700.0	0	3725.62	9	0.995148	268.104	1	temp/spectra_filtered.mgf284	1	3-DEAZAADENOSINE	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M+H]+	267.109	266.102	1	N/A	N/A	Nc1c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2ccn1	InChI=1S/C11H14N4O4/c12-10-7-5(1-2-13-10)15(4-14-7)11-9(18)8(17)6(3-16)19-11/h1-2,4,6,8-9,11,16-18H,3H2,(H2,12,13)/t6-,8-,9-,11-/m1/s1	DBZQFUNLCALWDY-PNHWDRBUSA-N	1	Positive	MSNLIB-POSITIVE	267.109	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H14N4O4	DBZQFUNLCALWDY-PNHWDRBUSA-N	DBZQFUNLCALWDY	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012357130
CCMSLIB00000220666	750	spectra_filtered.mgf	MASSBANK.mgf	0.992859	158476000.0	0	473.916	8	0.0971527	205.097	1	temp/spectra_filtered.mgf750	1	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	205.0	0.0	1	73-22-3	N/A	OC(=O)[C@H](N)Cc(c1)c(c2)c(ccc2)n1	1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	3	Positive	MASSBANK	205.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000220666
CCMSLIB00003135371	483	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.992573	1874010000.0	0	20.488	6	0.00340271	166.086	1	temp/spectra_filtered.mgf483	1	Spectral Match to DL-Phenylalanine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	166.083	165.079	1	150301	N/A	C1=CC=C(C=C1)CC(C(=O)O)N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	3	Positive	GNPS-NIST14-MATCHES	166.083	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO2	COLNVLDHVKWLRT-UHFFFAOYSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135371
CCMSLIB00003136607	949	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.991528	34323600.0	0	0.248934	7	6.10352e-05	245.186	1	temp/spectra_filtered.mgf949	1	Spectral Match to Ile-Leu from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	245.186	244.179	1	N/A	N/A	CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N	InChI=1S/C12H24N2O3/c1-5-8(4)10(13)11(15)14-9(12(16)17)6-7(2)3/h7-10H,5-6,13H2,1-4H3,(H,14,15)(H,16,17)/t8-,9-,10-/m0/s1	N/A	3	Positive	GNPS-NIST14-MATCHES	245.186	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C12H24N2O3	JWBXCSQZLLIOCI-GUBZILKMSA-N	JWBXCSQZLLIOCI	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003136607
CCMSLIB00011431672	479	spectra_filtered.mgf	LEAFBOT.mgf	0.990839	15379400.0	0	2.56159	6	0.000335693	131.049	1	temp/spectra_filtered.mgf479	1	TRANS_CINNAMIC_ACID	ESI	Orbitrap	Commercial	Cech	Vicky & Victoria	M-H2O+H	131.049	148.052	1	0140-10-3		C1=CC=C(C=C1)C=CC(=O)O	InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)	N/A	1	Positive	LEAFBOT	131.049	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H8O2	WBYWAXJHAXSJNI-UHFFFAOYSA-N	WBYWAXJHAXSJNI	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Cinnamic acids	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00011431672
CCMSLIB00003135371	1530	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.990579	2436410.0	0	19.9368	6	0.00331116	166.086	1	temp/spectra_filtered.mgf1530	1	Spectral Match to DL-Phenylalanine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	166.083	165.079	1	150301	N/A	C1=CC=C(C=C1)CC(C(=O)O)N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	3	Positive	GNPS-NIST14-MATCHES	166.083	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO2	COLNVLDHVKWLRT-UHFFFAOYSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135371
CCMSLIB00016350710	613	spectra_filtered.mgf	GNPS-ALKYLAMINES-LIBRARY.mgf	0.990239	27140300.0	0	4551.19	6	1.02005	223.108	1	temp/spectra_filtered.mgf613	1	GABA_p-Anisaldehyde (known isomers: 0; isobaric peaks in run: 1)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Julius	[M+H]+	224.128	223.121	1	N/A	p-Anisaldehyde_Amine_batch2_P2_A9.mzML:scan:385	COc1ccc(CNCCCC(=O)O)cc1	InChI=1S/C12H17NO3/c1-16-11-6-4-10(5-7-11)9-13-8-2-3-12(14)15/h4-7,13H,2-3,8-9H2,1H3,(H,14,15)		1	Positive	GNPS-ALKYLAMINES-LIBRARY	224.128	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C12H17NO3	WUBAZACGGFMSMU-UHFFFAOYSA-N	WUBAZACGGFMSMU	N/A	N/A	N/A			Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016350710
CCMSLIB00006683069	206	spectra_filtered.mgf	MONA.mgf	0.989762	6036310.0	0	7714.34	6	1.00325	131.053	1	temp/spectra_filtered.mgf206	1	PYROGLUTAMIC ACID	ESI	qTof	isolated	MoNA	MoNA:MoNA035911	M+H	130.05	0.0	1	N/A	N/A	C1CC(=N[C@H]1C(=O)O)O	"""InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m1/s1"""	N/A	3	positive	MONA	130.05	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C5H7NO3	ODHCTXKNWHHXJC-GSVOUGTGSA-N	ODHCTXKNWHHXJC	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00006683069
