cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
1	266.12302481466554	0.41145018	0	857049.2224999999	988753.1	824831.985	834952.5825	819351.78	0	830356.4975	842405.4475	829648.37	833775.2549999999
2	129.5944091069868	0.4664355	0	0.0	4050791.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
3	138.10759196209267	0.4664355	0	0.0	1771102.4	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
4	142.58956589701805	0.4664355	0	0.0	7507860.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
5	266.6581090902948	0.46344253	0	0.0	5798667.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
6	357.2132557572719	0.47087812	0	0.0	0.0	332947.025	587239.825	0.0	0	0.0	222383.525	364856.3	332947.025
7	160.18082840693336	0.4763459	0	0.0	1489352.1	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
8	234.1448336782919	0.4763459	0	0.0	4530947.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
9	248.160471036034	0.4763459	0	0.0	4288813.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
10	276.1554656738091	0.47684327	0	0.0	4705745.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
11	284.17167493762213	0.4763459	0	0.0	3596055.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
12	133.097238401664	0.48014143	0	0.0	1466809.0	3565316.5	0.0	6493540.75	0	3284605.125	2645056.125	3057857.75	1071338.25
13	130.08637099574025	0.4821238	0	0.0	56608612.0	5089181.575	319597.125	7458270.25	0	4087558.375	3276766.5	3315520.25	2187203.825
14	147.1128141915441	0.4817332	0	463048.0	134243840.0	12167587.75	705271.625	17987340.0	0	10415676.5	7663218.5	8026832.5	5217519.875
15	146.16523603823342	0.49871653	0	0.0	10562989.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
16	243.1087830878016	0.48608536	0	0.0	4164529.8	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
17	156.07677418402554	0.48667437	0	0.0	13298302.0	7286643.625	3333748.375	5962902.375	0	3986465.75	4027009.075	3783159.55	4786660.0
