CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1109	1377	1	0.9001	18.012
1377	1412	1	0.7652	-117.079
912	1109	1	0.7663	15.994
912	1232	1	0.9103	-99.068
1232	1412	1	0.7624	15.994
1109	1412	1	0.9019	-99.067
895	1018	2	0.8278	-39.021
835	895	2	0.8218	1.003
873	895	2	0.9347	0.010
1849	1852	4	0.8808	444.739
1851	1852	4	0.8671	444.237
1517	1766	4	0.8616	-260.116
1568	1766	4	0.8904	-163.063
1659	1766	4	0.8649	-163.063
1664	1766	4	0.8878	-163.093
1766	1849	4	0.8549	-99.571
1766	1851	4	0.8573	-99.069
1021	1456	4	0.8556	-15.015
1416	1456	4	0.8142	132.053
1417	1456	4	0.865	105.042
1456	1458	4	0.8574	-229.106
1456	1515	4	0.8323	-89.047
1456	1544	4	0.8902	-229.106
1456	1609	4	0.895	-115.064
1456	1873	4	0.8147	-377.195
1416	1455	4	0.8399	321.665
1455	1458	4	0.8419	-418.719
1455	1543	4	0.9723	0.001
1455	1544	4	0.8527	-418.718
1416	1543	4	0.8251	321.666
1458	1543	4	0.8502	418.720
1543	1544	4	0.8557	-418.719
1517	1849	4	0.8183	-359.686
1568	1849	4	0.868	-262.634
1659	1849	4	0.8566	-262.634
1664	1849	4	0.8596	-262.664
1849	1851	4	0.9838	0.502
1417	1458	4	0.8532	-124.064
1417	1515	4	0.9473	15.996
1417	1544	4	0.851	-124.063
1417	1609	4	0.9236	-10.021
1417	1659	4	0.8327	87.032
1417	1664	4	0.8262	87.062
1417	1686	4	0.8945	-262.132
1416	1601	4	0.8127	-260.117
1458	1601	4	0.8822	-163.063
1544	1601	4	0.8885	-163.064
1601	1704	4	0.8126	-99.068
1686	1737	4	0.9491	-14.015
1737	1788	4	0.946	30.010
1737	1851	4	0.8517	101.047
1737	1873	4	0.944	3.995
1515	1664	4	0.836	71.067
1517	1664	4	0.8447	-97.022
1568	1664	4	0.9561	0.030
1585	1664	4	0.8507	-0.451
1659	1664	4	0.9695	0.030
1664	1851	4	0.8681	-262.162
1664	1946	4	0.8345	-83.031
1686	1788	4	0.9639	15.995
1686	1851	4	0.866	87.032
1686	1873	4	0.9034	-10.021
1568	1974	4	0.8379	-39.011
1946	1974	4	0.9386	43.990
1702	1705	4	0.8437	-0.499
1568	1946	4	0.8667	-83.001
1659	1946	4	0.8343	-83.001
1515	1568	4	0.841	71.036
1517	1568	4	0.8514	-97.052
1568	1585	4	0.8674	0.481
1568	1659	4	0.9445	0.000
1568	1851	4	0.8758	-262.132
1021	1416	4	0.8071	-147.068
1021	1458	4	0.865	-244.122
1021	1544	4	0.8779	-244.121
1416	1544	4	0.8637	-97.053
1458	1544	4	0.9718	0.001
1515	1544	4	0.8199	-140.059
1544	1609	4	0.9278	114.042
1585	1659	4	0.8411	-0.481
1458	1609	4	0.9262	114.043
1515	1609	4	0.9042	-26.017
1609	1873	4	0.9062	-262.132
1458	1515	4	0.8182	140.060
1515	1659	4	0.8478	71.037
1515	1788	4	0.9031	-262.133
1702	1704	4	0.8273	-549.784
1704	1873	4	0.8333	114.042
1517	1659	4	0.8277	-97.052
1517	1851	4	0.8234	-359.185
1788	1873	4	0.9162	-26.016
1659	1851	4	0.8586	-262.132
