CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2	170	-20.464	0.000	0.7000	0.6037	1
3	5	-257.101	0.000	0.7162	0.3275	1
3	9	27.047	0.000	0.7049	0.3619	1
3	397	-18.973	0.000	0.8417	0.5639	1
4	11	-141.582	0.000	0.7196	0.3863	1
4	90	-13.487	0.000	0.7683	0.6176	1
4	144	-110.490	0.000	0.7135	0.4621	1
5	8	298.164	0.000	0.7301	0.4396	1
5	9	284.148	0.000	0.7499	0.4497	1
5	10	256.154	0.000	0.7878	0.5510	1
5	13	402.223	0.000	0.7031	0.2696	1
5	139	273.138	0.000	0.7168	0.4720	1
5	163	274.200	0.000	0.7315	0.5010	1
5	181	256.153	0.000	0.7008	0.5423	1
5	185	222.133	0.000	0.7068	0.4881	1
5	397	238.128	0.000	0.7411	0.3815	1
8	9	-14.016	0.000	0.9725	0.8933	1
8	10	-42.011	0.000	0.9118	0.7377	1
8	120	-81.058	0.000	0.7263	0.6565	1
8	131	-26.052	0.000	0.8570	0.7657	1
8	132	-139.027	0.000	0.8254	0.5567	1
8	139	-25.026	0.000	0.7512	0.4853	1
8	155	-12.036	0.000	0.8714	0.7382	1
8	159	-99.068	0.000	0.7165	0.4977	1
8	163	-23.964	0.000	0.8419	0.6753	1
8	175	-139.027	0.000	0.8296	0.5624	1
8	181	-42.011	0.000	0.8372	0.6507	1
8	185	-76.031	0.000	0.9067	0.7614	1
8	186	-113.084	0.000	0.7771	0.5180	1
8	189	17.026	0.000	0.7405	0.7339	1
8	208	-83.073	0.000	0.7204	0.5422	1
8	212	-75.995	0.000	0.7637	0.7045	1
8	220	-26.052	0.000	0.7918	0.7680	1
8	223	30.082	0.000	0.7967	0.6459	1
8	243	-26.016	0.000	0.7492	0.7637	1
8	255	-153.006	0.000	0.7769	0.6562	1
8	258	-141.079	0.000	0.7323	0.4672	1
8	261	-155.095	0.000	0.7625	0.4697	1
8	266	-26.052	0.000	0.8854	0.7519	1
8	276	-10.021	0.000	0.7952	0.7364	1
8	394	-83.037	0.000	0.7124	0.5712	1
8	397	-60.036	0.000	0.9171	0.7569	1
8	413	-123.068	0.000	0.7934	0.5994	1
8	414	-10.021	0.000	0.8664	0.7041	1
8	415	-141.061	0.000	0.7172	0.5181	1
8	654	-137.084	0.000	0.7648	0.5353	1
9	10	-27.995	0.000	0.9169	0.7483	1
9	13	118.074	0.000	0.7249	0.3761	1
9	14	101.048	0.000	0.7212	0.3789	1
9	104	100.100	0.000	0.7146	0.4499	1
9	120	-67.042	0.000	0.7236	0.5904	1
9	131	-12.036	0.000	0.8319	0.7861	1
9	132	-125.011	0.000	0.8435	0.5706	1
9	139	-11.010	0.000	0.8066	0.6623	1
9	155	1.979	0.000	0.8753	0.7409	1
9	163	-9.948	0.000	0.8502	0.7691	1
9	175	-125.011	0.000	0.8384	0.5481	1
9	181	-27.995	0.000	0.7818	0.5667	1
9	185	-62.015	0.000	0.9282	0.8038	1
9	186	-99.068	0.000	0.7412	0.4815	1
9	189	31.042	0.000	0.7340	0.6547	1
9	208	-69.058	0.000	0.7102	0.5672	1
9	212	-61.979	0.000	0.7744	0.7373	1
9	220	-12.036	0.000	0.7941	0.8246	1
9	223	44.097	0.000	0.7845	0.6521	1
9	243	-12.000	0.000	0.7478	0.8246	1
9	248	-10.932	0.000	0.7169	0.6102	1
9	255	-138.991	0.000	0.7766	0.6758	1
9	258	-127.063	0.000	0.7101	0.4603	1
9	261	-141.079	0.000	0.7858	0.5070	1
9	266	-12.037	0.000	0.9095	0.8333	1
9	276	3.995	0.000	0.7795	0.7494	1
9	394	-69.021	0.000	0.7030	0.6102	1
9	397	-46.021	0.000	0.9287	0.7412	1
9	413	-109.053	0.000	0.7930	0.6271	1
9	414	3.995	0.000	0.8814	0.7201	1
9	415	-127.046	0.000	0.7030	0.5441	1
9	654	-123.069	0.000	0.7806	0.6285	1
10	113	-0.948	0.000	0.8800	0.7967	1
10	120	-39.047	0.000	0.7191	0.6043	1
10	127	57.058	0.000	0.7532	0.5643	1
10	131	15.958	0.000	0.7806	0.6863	1
10	132	-97.016	0.000	0.8335	0.6367	1
10	139	16.985	0.000	0.8262	0.7105	1
10	155	29.974	0.000	0.8619	0.7373	1
10	163	18.047	0.000	0.8851	0.7816	1
10	175	-97.016	0.000	0.8393	0.6365	1
10	181	-0.000	0.000	0.8506	0.7073	1
10	185	-34.021	0.000	0.8501	0.6926	1
10	189	59.037	0.000	0.7338	0.6131	1
10	212	-33.984	0.000	0.7367	0.6715	1
10	220	15.958	0.000	0.7381	0.6692	1
10	223	72.092	0.000	0.7717	0.5837	1
10	248	17.063	0.000	0.7517	0.6676	1
10	255	-110.996	0.000	0.7689	0.7537	1
10	258	-99.068	0.000	0.7519	0.5851	1
10	261	-113.084	0.000	0.8066	0.5985	1
10	266	15.958	0.000	0.8516	0.7424	1
10	276	31.990	0.000	0.7074	0.6258	1
10	334	40.006	0.000	0.7026	0.5716	1
10	397	-18.026	0.000	0.8639	0.6687	1
10	413	-81.058	0.000	0.7876	0.7204	1
10	414	31.990	0.000	0.8124	0.6838	1
10	654	-95.074	0.000	0.7556	0.6422	1
10	924	-95.074	0.000	0.7260	0.5903	1
11	16	41.063	0.000	0.8472	0.6604	1
11	17	128.095	0.000	0.7207	0.3308	1
11	102	31.042	0.000	0.8401	0.5659	1
11	106	40.006	0.000	0.7070	0.5217	1
11	111	-234.075	0.000	0.7813	0.5341	1
11	112	40.042	0.000	0.7035	0.4920	1
11	131	23.975	0.000	0.7018	0.6740	1
11	135	15.011	0.000	0.7017	0.5550	1
11	144	31.092	0.000	0.8714	0.7098	1
11	163	26.063	0.000	0.8324	0.6660	1
11	212	-25.968	0.000	0.7179	0.6674	1
11	216	-42.010	0.000	0.7036	0.4819	1
11	219	15.011	0.000	0.7843	0.5801	1
11	253	31.092	0.000	0.8408	0.6461	1
11	276	40.006	0.000	0.8209	0.6012	1
11	438	-9.973	0.000	0.7034	0.5271	1
11	514	31.042	0.000	0.8342	0.5213	1
11	520	57.058	0.000	0.7824	0.6152	1
11	633	40.043	0.000	0.7504	0.5178	1
11	682	-96.021	0.000	0.7743	0.5255	1
11	706	40.042	0.000	0.7529	0.5211	1
11	744	40.042	0.000	0.7426	0.5345	1
11	787	40.042	0.000	0.7572	0.6059	1
