CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1050	1203	-44.026	0.000	0.7909	0.7234	1
1050	1270	-14.015	0.000	0.7938	0.6636	1
1050	1346	-86.037	0.000	0.7402	0.6839	1
1050	1365	-56.063	0.000	0.8487	0.7573	1
1050	1414	-54.011	0.000	0.7668	0.6422	1
1051	1052	-112.975	0.000	0.7311	0.4218	1
1051	1130	-0.000	0.000	0.9598	0.7888	1
1051	1163	-33.984	0.000	0.9478	0.7593	1
1051	1182	16.032	0.000	0.9485	0.7677	1
1051	1219	-33.983	0.000	0.9600	0.6846	1
1051	1263	-115.026	0.000	0.7097	0.4090	1
1051	1280	16.031	0.000	0.9539	0.8063	1
1051	1290	-33.984	0.000	0.9589	0.7369	1
1051	1345	16.031	0.000	0.9511	0.7787	1
1051	1437	16.031	0.000	0.9521	0.7807	1
1051	1631	16.031	0.000	0.9558	0.8128	1
1051	1676	-111.032	0.000	0.7525	0.5309	1
1051	1811	18.011	0.000	0.7798	0.5317	1
1052	1083	-110.085	0.000	0.7170	0.4922	1
1052	1086	115.027	0.000	0.7266	0.4786	1
1052	1130	112.975	0.000	0.7373	0.4424	1
1052	1144	-14.016	0.000	0.7986	0.6203	1
1052	1153	115.027	0.000	0.7786	0.5002	1
1052	1219	78.992	0.000	0.7058	0.5393	1
1052	1263	-2.052	0.000	0.7727	0.7365	1
1052	1304	-16.068	0.000	0.7324	0.6058	1
1052	1414	15.958	0.000	0.7385	0.5863	1
1052	1676	1.943	0.000	0.8419	0.6122	1
1052	2036	71.923	0.000	0.7579	0.3961	1
1053	1056	-160.116	0.000	0.7388	0.6549	1
1053	1058	0.474	0.000	0.9774	0.9180	1
1053	1073	-293.121	0.000	0.7173	0.5126	1
1053	1268	-84.063	0.000	0.7057	0.6187	1
1053	1424	-120.589	0.000	0.7583	0.6298	1
1053	1573	-405.243	0.000	0.7050	0.6241	1
1054	1056	-15.011	0.000	0.7672	0.7495	1
1054	1061	-147.108	0.000	0.8318	0.6409	1
1054	1205	113.084	0.000	0.8506	0.7464	1
1054	1206	-18.011	0.000	0.8015	0.7245	1
1054	1241	28.990	0.000	0.7692	0.5974	1
1054	1547	-570.302	0.000	0.7480	0.5207	1
1054	1573	-260.138	0.000	0.8336	0.6268	1
1054	1647	-359.207	0.000	0.8212	0.5864	1
1055	1056	131.095	0.000	0.7240	0.6194	1
1055	1061	-1.002	0.000	0.7159	0.5723	1
1055	1206	128.096	0.000	0.8776	0.7977	1
1055	1749	-181.110	0.000	0.7887	0.5814	1
1056	1058	160.590	0.000	0.7422	0.6442	1
1056	1205	128.095	0.000	0.7277	0.6542	1
1058	1424	-121.063	0.000	0.7599	0.5885	1
1059	1235	-127.134	0.000	0.7184	0.5625	1
1060	1104	-28.070	0.000	0.8523	0.6238	1
1060	1117	-149.085	0.000	0.8003	0.5595	1
1060	1118	-255.231	0.000	0.7311	0.4850	1
1060	1225	-32.062	0.000	0.9301	0.7797	1
1060	1240	198.561	0.000	0.7191	0.5089	1
1060	1242	85.016	0.000	0.9175	0.7321	1
1060	1243	-127.137	0.000	0.7771	0.5947	1
1060	1246	-127.637	0.000	0.7912	0.5433	1
1060	1264	128.059	0.000	0.8307	0.5466	1
1060	1349	134.533	0.000	0.7248	0.4124	1
1060	1386	148.037	0.000	0.7040	0.4837	1
1060	1387	-228.184	0.000	0.7300	0.4980	1
1060	1392	-198.174	0.000	0.7161	0.4439	1
1060	1405	-214.169	0.000	0.7755	0.5257	1
1060	1452	-205.093	0.000	0.7291	0.5397	1
1060	1539	-127.136	0.000	0.7985	0.5710	1
1060	1605	-240.220	0.000	0.7114	0.4515	1
1060	1606	142.020	0.000	0.7021	0.4234	1
1060	1607	-238.168	0.000	0.8465	0.6749	1
1060	1615	-238.646	0.000	0.7779	0.5210	1
1060	1674	-155.132	0.000	0.7370	0.4275	1
1060	1784	-210.137	0.000	0.8848	0.6360	1
1060	1943	-116.063	0.000	0.7984	0.4579	1
1061	1073	-0.908	0.000	0.7001	0.5168	1
1061	1205	260.192	0.000	0.7754	0.5413	1
1061	1206	129.097	0.000	0.8363	0.6846	1
1061	1547	-423.194	0.000	0.7038	0.5163	1
1061	1573	-113.030	0.000	0.8734	0.7505	1
1061	1647	-212.099	0.000	0.8227	0.6610	1
1062	1068	-0.000	0.000	0.9785	0.8328	1
1062	1075	-87.032	0.000	0.8253	0.5792	1
1062	1125	-158.033	0.000	0.7683	0.3980	1
1062	1126	-26.018	0.000	0.7694	0.5978	1
1062	1169	-226.095	0.000	0.7285	0.6952	1
1062	1273	-157.074	0.000	0.7651	0.5001	1
1062	1279	-99.069	0.000	0.8246	0.6495	1
1062	1374	-254.127	0.000	0.7409	0.4612	1
1062	1376	-125.085	0.000	0.7406	0.5315	1
1062	1534	-26.016	0.000	0.8931	0.8288	1
1062	1799	-26.016	0.000	0.8882	0.8193	1
1063	1070	-71.037	0.000	0.7480	0.6303	1
1063	1092	-384.240	0.000	0.8072	0.6991	1
1063	1093	-0.001	0.000	0.9784	0.8750	1
1063	1097	57.021	0.000	0.7736	0.6137	1
1063	1098	-454.209	0.000	0.8034	0.6558	1
1063	1184	-14.014	0.000	0.8554	0.6701	1
1063	1204	-26.015	0.000	0.8965	0.7803	1
1063	1207	-27.018	0.000	0.7169	0.5568	1
1063	1224	-42.010	0.000	0.7846	0.6045	1
1063	1267	-42.010	0.000	0.7630	0.5359	1
1063	1279	-48.000	0.000	0.8383	0.5903	1
1063	1292	-42.047	0.000	0.8788	0.7557	1
1063	1312	-84.026	0.000	0.7044	0.4923	1
1063	1438	-325.164	0.000	0.7036	0.5003	1
1063	1439	29.537	0.000	0.7111	0.5596	1
1063	1449	-156.090	0.000	0.7084	0.5308	1
1063	1450	-143.095	0.000	0.7398	0.5439	1
1063	1461	-56.063	0.000	0.7325	0.6491	1
1063	1469	-113.084	0.000	0.8054	0.6874	1
1063	1518	-113.084	0.000	0.7918	0.7809	1
1063	1521	-116.024	0.000	0.7342	0.4326	1
1063	1559	-141.115	0.000	0.7608	0.5900	1
1063	1565	-54.047	0.000	0.7777	0.6183	1
1063	1577	-54.006	0.000	0.7156	0.5647	1
1063	1586	-147.068	0.000	0.7725	0.7254	1
1063	1632	-68.063	0.000	0.8393	0.7205	1
1063	1682	-155.131	0.000	0.7420	0.5285	1
1063	1685	-68.062	0.000	0.8445	0.7222	1
1063	1729	-54.046	0.000	0.8343	0.7625	1
1063	1750	-155.131	0.000	0.7367	0.5440	1
1063	1770	-153.079	0.000	0.8490	0.6357	1
1063	1912	-68.062	0.000	0.8177	0.7069	1
1063	1941	-102.047	0.000	0.8252	0.6781	1
1063	1942	-88.031	0.000	0.7695	0.6011	1
1065	1169	-5.026	0.000	0.8563	0.6307	1
1065	1323	-104.095	0.000	0.7651	0.5456	1
1066	1084	39.032	0.000	0.7023	0.6640	1
1066	1135	-114.043	0.000	0.8721	0.8386	1
1066	1138	-228.111	0.000	0.7947	0.6280	1
1066	1206	58.006	0.000	0.8223	0.7492	1
1066	1255	-99.068	0.000	0.8600	0.7634	1
1066	1478	-97.017	0.000	0.8809	0.8342	1
1066	1518	15.959	0.000	0.7259	0.6228	1
1066	1569	72.980	0.000	0.7911	0.6137	1
1066	1760	-58.057	0.000	0.7227	0.5725	1
1067	1148	30.010	0.000	0.9711	0.8612	1
1067	1196	15.995	0.000	0.9819	0.9100	1
1067	1283	87.032	0.000	0.8278	0.6812	1
1067	1464	-12.036	0.000	0.9209	0.8257	1
1067	1475	-55.076	0.000	0.8022	0.6007	1
1067	1653	-26.052	0.000	0.9690	0.8750	1
1067	1751	-60.036	0.000	0.9717	0.8493	1
1068	1075	-87.032	0.000	0.8263	0.5852	1
1068	1125	-158.033	0.000	0.7844	0.4487	1
1068	1126	-26.018	0.000	0.7779	0.6071	1
1068	1169	-226.095	0.000	0.7022	0.5200	1
1068	1273	-157.074	0.000	0.7756	0.5201	1
1068	1279	-99.069	0.000	0.8341	0.6624	1
1068	1374	-254.127	0.000	0.7468	0.4869	1
1068	1376	-125.085	0.000	0.7345	0.4629	1
1068	1534	-26.016	0.000	0.8814	0.6883	1
1068	1799	-26.016	0.000	0.8765	0.6804	1
1068	1907	-252.184	0.000	0.7008	0.4425	1
1069	1119	131.040	0.000	0.8022	0.7833	1
1069	1155	0.001	0.000	0.9569	0.8332	1
1069	1160	87.033	0.000	0.8613	0.7021	1
1069	1165	-15.994	0.000	0.9046	0.7781	1
1069	1192	87.033	0.000	0.8587	0.7559	1
1069	1252	0.001	0.000	0.9855	0.9136	1
1069	1286	87.032	0.000	0.8556	0.7119	1
1069	1383	-99.068	0.000	0.8947	0.7356	1
1069	1471	-99.068	0.000	0.8886	0.7078	1
1070	1093	71.036	0.000	0.7205	0.5543	1
1070	1518	-42.047	0.000	0.9209	0.7976	1
1070	1586	-76.032	0.000	0.8741	0.6522	1
1071	1072	-186.583	0.000	0.7061	0.5608	1
1071	1073	-283.635	0.000	0.7342	0.6245	1
1071	1074	-301.646	0.000	0.8258	0.7307	1
1071	1084	-172.604	0.000	0.7725	0.6241	1
1071	1523	-186.582	0.000	0.7657	0.6439	1
1071	1576	-16.021	0.000	0.7136	0.4598	1
1071	1661	-80.050	0.000	0.7019	0.4530	1
1071	1921	-71.537	0.000	0.7426	0.5302	1
1072	1074	-115.063	0.000	0.8130	0.6713	1
1072	1084	13.979	0.000	0.8189	0.7128	1
1072	1523	0.000	0.000	0.9314	0.8092	1
1072	1531	113.048	0.000	0.7067	0.5402	1
1072	1540	-262.132	0.000	0.8080	0.6401	1
1073	1205	261.100	0.000	0.7107	0.5985	1
1073	1245	268.095	0.000	0.7196	0.6049	1
1074	1084	129.042	0.000	0.8221	0.7040	1
1074	1262	115.027	0.000	0.7108	0.5203	1
1074	1523	115.063	0.000	0.8021	0.6776	1
1074	1540	-147.068	0.000	0.8830	0.7644	1
1075	1136	-115.027	0.000	0.7241	0.6829	1
1075	1173	-216.075	0.000	0.7724	0.5900	1
1078	1131	-95.004	0.000	0.7279	0.5575	1
1078	1163	-16.031	0.000	0.8038	0.7040	1
1078	1264	-134.069	0.000	0.7383	0.6395	1
1078	1290	-16.031	0.000	0.7807	0.7046	1
1078	1369	-50.016	0.000	0.8323	0.7715	1
1078	1468	-113.084	0.000	0.7020	0.4169	1
1081	1139	-33.984	0.000	0.8256	0.6941	1
