feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
2094	224							1.0	0.3110281	ISDB									XQQARSOXXGMYHZ							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.2441123723983765	1
2089	-1							1.0	0.4488288	ISDB	http://www.wikidata.org/entity/Q104976510	DDLHISCCNYFWOT-PSSYVLGHSA-N	InChI=1S/C28H40O3/c1-16-19-10-12-27(5)23(26(19,4)14-22(30)24(16)31)8-7-20-18-13-25(2,3)11-9-17(18)21(29)15-28(20,27)6/h7,17-19,23,31H,8-15H2,1-6H3/t17-,18+,19-,23+,26-,27+,28+/m0/s1	CC1=C(O)C(=O)C[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@@H]5C(=O)C[C@@]4(C)[C@]3(C)CC[C@@H]12	C28H40O3		424.29774514	Remangilone D	DDLHISCCNYFWOT	Terpenoids	Triterpenoids		http://www.wikidata.org/entity/Q17243744	Physena madagascariensis	684979.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Caryophyllales']	['Physenaceae']	['Unknown']	['Physena']	['Physena madagascariensis']											0	0	1.795315146446228	1
2085	97	Fatty acids	0.8648648648648649	Fatty Acids and Conjugates	0.40540540540540543	Unsaturated fatty acids	0.24324324324324326	1.0	0.60947037	ISDB									GPSABRWJHKRHDY							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.4378814697265625	1
2084	97	Fatty acids	0.8648648648648649	Fatty Acids and Conjugates	0.40540540540540543	Unsaturated fatty acids	0.24324324324324326	2.0	0.77385926	ISDB	http://www.wikidata.org/entity/Q4370	FATBGEAMYMYZAF-KTKRTIGZSA-N	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	CCCCCCCC/C=C\CCCCCCCC(N)=O	C18H35NO		281.27186474	Oleamide	FATBGEAMYMYZAF	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q221179	Streptococcus pneumoniae	699152.0	['Bacteria']	['Unknown']	['Firmicutes']	['Bacilli']	['Lactobacillales']	['Streptococcaceae']	['Unknown']	['Streptococcus']	['Streptococcus pneumoniae']		['Bacteria']									1	1	4.595437049865723	1
2083	97	Fatty acids	0.8648648648648649	Fatty Acids and Conjugates	0.40540540540540543	Unsaturated fatty acids	0.24324324324324326	1.0	0.7941047	ISDB	http://www.wikidata.org/entity/Q4370	FATBGEAMYMYZAF-KTKRTIGZSA-N	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	CCCCCCCC/C=C\CCCCCCCC(N)=O	C18H35NO		281.27186474	Oleamide	FATBGEAMYMYZAF	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q221179	Streptococcus pneumoniae	699152.0	['Bacteria']	['Unknown']	['Firmicutes']	['Bacilli']	['Lactobacillales']	['Streptococcaceae']	['Unknown']	['Streptococcus']	['Streptococcus pneumoniae']		['Bacteria']									1	1	4.676418781280518	1
2081	97	Fatty acids	0.8648648648648649	Fatty Acids and Conjugates	0.40540540540540543	Unsaturated fatty acids	0.24324324324324326	1.0	0.7100299	ISDB	http://www.wikidata.org/entity/Q77310201	JXTINQFFOKAJPL-CVEYVTCZSA-N	InChI=1S/C16H28O/c1-9-6-12-14(17)11-7-15(3,4)8-13(11)16(12,5)10(9)2/h9-14,17H,6-8H2,1-5H3/t9-,10-,11-,12-,13+,14-,16+/m0/s1	C[C@H]1C[C@H]2[C@@H](O)[C@H]3CC(C)(C)C[C@H]3[C@]2(C)[C@H]1C	C16H28O		236.214015516	(2S,3S,3aS,3bR,6aS,7S,7aR)-2,3,3a,5,5-pentamethyl-2,3,3b,4,6,6a,7,7a-octahydro-1H-cyclopenta[a]pentalen-7-ol	JXTINQFFOKAJPL	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	http://www.wikidata.org/entity/Q104084192	Cerrena albocinnamomea	7525618.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Polyporaceae']	['Unknown']	['Cerrena']	['Cerrena albocinnamomea']											0	0	2.8401196002960205	1
2080	97	Fatty acids	0.8648648648648649	Fatty Acids and Conjugates	0.40540540540540543	Unsaturated fatty acids	0.24324324324324326	1.0	0.70904267	ISDB	http://www.wikidata.org/entity/Q77310201	JXTINQFFOKAJPL-CVEYVTCZSA-N	InChI=1S/C16H28O/c1-9-6-12-14(17)11-7-15(3,4)8-13(11)16(12,5)10(9)2/h9-14,17H,6-8H2,1-5H3/t9-,10-,11-,12-,13+,14-,16+/m0/s1	C[C@H]1C[C@H]2[C@@H](O)[C@H]3CC(C)(C)C[C@H]3[C@]2(C)[C@H]1C	C16H28O		236.214015516	(2S,3S,3aS,3bR,6aS,7S,7aR)-2,3,3a,5,5-pentamethyl-2,3,3b,4,6,6a,7,7a-octahydro-1H-cyclopenta[a]pentalen-7-ol	JXTINQFFOKAJPL	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	http://www.wikidata.org/entity/Q104084192	Cerrena albocinnamomea	7525618.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Polyporaceae']	['Unknown']	['Cerrena']	['Cerrena albocinnamomea']											0	0	2.8361706733703613	1
2077	97	Fatty acids	0.8648648648648649	Fatty Acids and Conjugates	0.40540540540540543	Unsaturated fatty acids	0.24324324324324326	5.0	0.4735699	ISDB	http://www.wikidata.org/entity/Q104972142	CXUNGJFNAGVPSI-UHFFFAOYSA-N	InChI=1S/C18H33NO/c1-4-5-6-7-8-9-10-11-12-13-18-14-15-19(16(18)2)17(3)20/h4-15H2,1-3H3	CCCCCCCCCCCC1=C(C)N(C(C)=O)CC1	C18H33NO		279.256214676	1-(5-Methyl-4-undecyl-2,3-dihydropyrrol-1-yl)ethanone	CXUNGJFNAGVPSI				http://www.wikidata.org/entity/Q2738168	Pseudomonas putida	619502.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas putida']		['Bacteria']		['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']		['Pseudomonas']		6	0	7.894279599189758	1
2076	97	Fatty acids	0.8648648648648649	Fatty Acids and Conjugates	0.40540540540540543	Unsaturated fatty acids	0.24324324324324326	7.0	0.8610051	ISDB	http://www.wikidata.org/entity/Q105146503	KVFZUTBKAXAVDX-UHFFFAOYSA-N	InChI=1S/C15H26O/c1-10-5-6-12-14(4)8-11(14)7-13(2,3)9-15(10,12)16/h10-12,16H,5-9H2,1-4H3	CC1CCC2C3(C)CC3CC(C)(C)CC12O	C15H26O		222.198365452	3,3,5,7b-Tetramethyl-1,1a,2,4,5,6,7,7a-octahydrocyclopropa[h]azulen-4a-ol	KVFZUTBKAXAVDX	Terpenoids	Sesquiterpenoids	Africanane sesquiterpenoids	http://www.wikidata.org/entity/Q16992810	Streptomyces malaysiensis	365071.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces malaysiensis']		['Bacteria']									1	0	4.444020509719849	1
2073	97	Fatty acids	0.8648648648648649	Fatty Acids and Conjugates	0.40540540540540543	Unsaturated fatty acids	0.24324324324324326	7.0	0.865938	ISDB	http://www.wikidata.org/entity/Q74417056	KVFZUTBKAXAVDX-CYHVGBIXSA-N	InChI=1S/C15H26O/c1-10-5-6-12-14(4)8-11(14)7-13(2,3)9-15(10,12)16/h10-12,16H,5-9H2,1-4H3/t10-,11+,12+,14-,15-/m1/s1	C[C@@H]1CC[C@H]2[C@]3(C)C[C@@H]3CC(C)(C)C[C@@]12O	C15H26O		222.198365452	(+)-Isoafricanol	KVFZUTBKAXAVDX	Terpenoids	Sesquiterpenoids	Africanane sesquiterpenoids	http://www.wikidata.org/entity/Q26293318	Streptomyces violaceusniger	51865.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces violaceusniger']		['Bacteria']									1	0	4.463752031326294	1
