feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
2094	224				0.3110281	ISDB							XQQARSOXXGMYHZ						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	1.2441123723983765
2089	-1				0.4488288	ISDB	DDLHISCCNYFWOT-PSSYVLGHSA-N	InChI=1S/C28H40O3/c1-16-19-10-12-27(5)23(26(19,4)14-22(30)24(16)31)8-7-20-18-13-25(2,3)11-9-17(18)21(29)15-28(20,27)6/h7,17-19,23,31H,8-15H2,1-6H3/t17-,18+,19-,23+,26-,27+,28+/m0/s1	CC1=C(O)C(=O)C[C@]2(C)[C@H]3CC=C4[C@@H]5CC(C)(C)CC[C@@H]5C(=O)C[C@@]4(C)[C@]3(C)CC[C@@H]12	C28H40O3		424.29774514	DDLHISCCNYFWOT	Terpenoids	Triterpenoids		Physena madagascariensis	684979.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Caryophyllales']	['Physenaceae']	['Unknown']	['Physena']	['Physena madagascariensis']	0	0	1.795315146446228
2085	97	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.60947037	ISDB							GPSABRWJHKRHDY						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	0	0	2.4378814697265625
2084	97	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.77385926	ISDB	FATBGEAMYMYZAF-KTKRTIGZSA-N	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	CCCCCCCC/C=C\CCCCCCCC(N)=O	C18H35NO		281.27186474	FATBGEAMYMYZAF	Fatty acids	Fatty amides	Primary amides	Streptococcus pneumoniae	699152.0	['Bacteria']	['Unknown']	['Firmicutes']	['Bacilli']	['Lactobacillales']	['Streptococcaceae']	['Unknown']	['Streptococcus']	['Streptococcus pneumoniae']	1	1	4.595437049865723
2084	97	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.77385926	ISDB	FATBGEAMYMYZAF-MDZDMXLPSA-N	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9+	CCCCCCCC/C=C/CCCCCCCC(N)=O	C18H35NO		281.27186474	FATBGEAMYMYZAF	Fatty acids	Fatty amides	Primary amides	Streptomyces blastmyceticus	832626.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces blastmyceticus']	1	1	4.595437049865723
2083	97	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.7941047	ISDB	FATBGEAMYMYZAF-KTKRTIGZSA-N	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	CCCCCCCC/C=C\CCCCCCCC(N)=O	C18H35NO		281.27186474	FATBGEAMYMYZAF	Fatty acids	Fatty amides	Primary amides	Streptococcus pneumoniae	699152.0	['Bacteria']	['Unknown']	['Firmicutes']	['Bacilli']	['Lactobacillales']	['Streptococcaceae']	['Unknown']	['Streptococcus']	['Streptococcus pneumoniae']	1	1	4.676418781280518
2083	97	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.7941047	ISDB	FATBGEAMYMYZAF-MDZDMXLPSA-N	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9+	CCCCCCCC/C=C/CCCCCCCC(N)=O	C18H35NO		281.27186474	FATBGEAMYMYZAF	Fatty acids	Fatty amides	Primary amides	Streptomyces blastmyceticus	832626.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces blastmyceticus']	1	1	4.676418781280518
2081	97	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.7100299	ISDB	JXTINQFFOKAJPL-CVEYVTCZSA-N	InChI=1S/C16H28O/c1-9-6-12-14(17)11-7-15(3,4)8-13(11)16(12,5)10(9)2/h9-14,17H,6-8H2,1-5H3/t9-,10-,11-,12-,13+,14-,16+/m0/s1	C[C@H]1C[C@H]2[C@@H](O)[C@H]3CC(C)(C)C[C@H]3[C@]2(C)[C@H]1C	C16H28O		236.214015516	JXTINQFFOKAJPL	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	Cerrena albocinnamomea	7525618.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Polyporaceae']	['Unknown']	['Cerrena']	['Cerrena albocinnamomea']	0	0	2.8401196002960205
2081	97	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.7100299	ISDB	JXTINQFFOKAJPL-CVEYVTCZSA-N	InChI=1S/C16H28O/c1-9-6-12-14(17)11-7-15(3,4)8-13(11)16(12,5)10(9)2/h9-14,17H,6-8H2,1-5H3/t9-,10-,11-,12-,13+,14-,16+/m0/s1	C[C@H]1C[C@H]2[C@@H](O)[C@H]3CC(C)(C)C[C@H]3[C@]2(C)[C@H]1C	C16H28O		236.214015516	JXTINQFFOKAJPL	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	Antrodiella albocinnamomea	68416.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Phanerochaetaceae']	['Unknown']	['Antrodiella']	['Antrodiella albocinnamomea']	0	0	2.8401196002960205
2080	97	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.70904267	ISDB	JXTINQFFOKAJPL-CVEYVTCZSA-N	InChI=1S/C16H28O/c1-9-6-12-14(17)11-7-15(3,4)8-13(11)16(12,5)10(9)2/h9-14,17H,6-8H2,1-5H3/t9-,10-,11-,12-,13+,14-,16+/m0/s1	C[C@H]1C[C@H]2[C@@H](O)[C@H]3CC(C)(C)C[C@H]3[C@]2(C)[C@H]1C	C16H28O		236.214015516	JXTINQFFOKAJPL	Terpenoids	Sesquiterpenoids	Protoilludane sesquiterpenoids	Cerrena albocinnamomea	7525618.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Polyporaceae']	['Unknown']	['Cerrena']	['Cerrena albocinnamomea']	0	0	2.8361706733703613
