row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_02_1F12_1.mzML Peak height,20260424_CVOL_Group_02_1F12_2.mzML Peak height,20260424_CVOL_Group_02_1F12_3.mzML Peak height,20260424_CVOL_Group_02_1F12_4.mzML Peak height,20260424_CVOL_Group_02_Control_LB.mzML Peak height,20260424_CVOL_Group_02_Delta_phzC_1.mzML Peak height,20260424_CVOL_Group_02_Delta_phzC_2.mzML Peak height,20260424_CVOL_Group_02_Delta_phzC_3.mzML Peak height,20260424_CVOL_Group_02_Delta_phzC_4.mzML Peak height,20260424_CVOL_Group_02_Delta_pvdE_1.mzML Peak height,20260424_CVOL_Group_02_Delta_pvdE_2.mzML Peak height,20260424_CVOL_Group_02_Delta_pvdE_3.mzML Peak height,20260424_CVOL_Group_02_Delta_pvdE_4.mzML Peak height,20260424_CVOL_Group_02_QC_01.mzML Peak height,20260424_CVOL_Group_02_QC_02.mzML Peak height,20260424_CVOL_Group_02_QC_03.mzML Peak height,20260424_CVOL_Group_02_QC_04.mzML Peak height,20260424_CVOL_Group_02_QC_05.mzML Peak height,20260424_CVOL_Group_02_QC_06.mzML Peak height,20260424_CVOL_Group_02_R47_1.mzML Peak height,20260424_CVOL_Group_02_R47_2.mzML Peak height,20260424_CVOL_Group_02_R47_3.mzML Peak height,20260424_CVOL_Group_02_R47_4.mzML Peak height,20260424_CVOL_bk_mapp_03.mzML Peak height,
1,266.12302481466554,0.41145018,,,,,,,,,,,863623.0,876758.75,853108.2,834706.94,988753.1,833339.94,816602.9,822294.4,827090.7,833859.25,859664.2,823647.94,822638.94,908590.94,849327.4,866786.56,800959.8,814940.6,838116.9,790603.8,816595.94,819542.94,850664.44,974890.8,
2,129.5944091069868,0.4664355,,,,,,,,,,,0,0,0,0,4050791.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,138.10759196209267,0.4664355,,,,,,,,,,,0,0,0,0,1771102.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,142.58956589701805,0.4664355,,,,,,,,,,,0,0,0,0,7507860.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,266.6581090902948,0.46344253,,,,,,,,,,,0,0,0,0,5798667.0,0,0,0,0,0,0,0,0,1809824.6,2067149.9,1863909.1,2025530.8,1886860.9,1807151.1,0,0,0,0,0,
6,357.2132557572719,0.47087812,,,,,,,,,,,0,0,0,0,0,0,0,0,1331788.1,0,889534.1,1459425.2,0,1576276.1,2579081.2,1899027.1,2230310.0,1939783.1,1948129.1,0,0,0,0,0,
7,160.18082840693336,0.4763459,,,,,,,,,,,0,0,0,0,1489352.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,234.1448336782919,0.4763459,,,,,,,,,,,0,0,0,0,4530947.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,248.16047103603398,0.4763459,,,,,,,,,,,0,0,0,0,4288813.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,276.1554656738091,0.47684327,,,,,,,,,,,0,0,0,0,4705745.5,0,0,0,0,0,0,0,0,0,1692838.2,0,0,0,0,0,0,0,0,0,
