"sirius_smiles"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_ConfidenceScoreExact"	"sirius_ConfidenceScoreApproximate"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScoreNormalized"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_precursorFormula"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_retentionTimeInMinutes"	"sirius_formulaId"	"sirius_alignedFeatureId"	"sirius_compoundId"	"sirius_mappingFeatureId"	"sirius_overallFeatureQuality"	"sirius_chebiid"	"sirius_chebiasciiname"	"feature_id"
"[B-](CCCCC(CCN1CCC(CC1)O)(C(=O)O)N)(O)(O)O"	1	2	"0.024"	"0.024"	-395.407	0.156	0.319	6.072	"C13H29BN2O6"	"[M + H]+"	"C13H30BN2O6+"	"BEHPULZVRPBIEQ"	"InChI=1S/C13H28BN2O6/c15-13(12(18)19,5-1-2-7-14(20,21)22)6-10-16-8-3-11(17)4-9-16/h11,17,20-22H,1-10,15H2,(H,18,19)/q-1"	"[(5r)-5-Amino-5-Carboxy-7-(4-Hydroxypiperidin-1-Yl)heptyl](Trihydroxy)borate(1-)"	0.568	"71295769"	"PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(71295769)"	16777218	320.223	435	7.245	836969219671075456	836967525407105920	836967525407105920	2038	NA	NA	NA	2038
"[B]N(CC(=O)NC(C)C(=O)N(C)C(C)C(=O)C)C(=O)CC"	1	1	"0.021"	"0.021"	-597.128	1	0.29	43.236	"C13H22BN3O4"	"[M - H2O + H]+"	"C13H21BN3O3+"	"RBSGVOAMQQKUIT"	"InChI=1S/C13H22BN3O4/c1-6-12(20)17(14)7-11(19)15-8(2)13(21)16(5)9(3)10(4)18/h8-9H,6-7H2,1-5H3,(H,15,19)"	NA	0	"20736396"	"PUBCHEM:(20736396)"	2	277.172	157	2.616	836968007903078656	836967492284683648	836967492284683648	1103	NA	NA	NA	1103
"[B]NC(C)C(=O)N1CC(CC1C(=O)NC2(CC2)C(=O)O)C"	1	1	"0.532"	"0.532"	-331.105	1	0	99.483	"C13H20BN3O4"	"[M + H]+"	"C13H21BN3O4+"	"GHSXZTSXPNRVIL"	"InChI=1S/C13H20BN3O4/c1-7-5-9(17(6-7)11(19)8(2)16-14)10(18)15-13(3-4-13)12(20)21/h7-9,16H,3-6H2,1-2H3,(H,15,18)(H,20,21)"	NA	0	"22082801;59963731"	"PUBCHEM:(22082801 59963731)"	2	293.166	153	2.547	836968059274915584	836967490493715584	836967490493715584	1053	NA	NA	NA	1053
"[C]=CC1=CC=CC=C1"	1	1	"0.176"	"0.197"	-23.849	0.988	0.136	33.467	"C8H6"	"[M + H3N + H]+"	"C8H10N+"	"ZZWABYQKBLDNHJ"	"InChI=1S/C8H6/c1-2-8-6-4-3-5-7-8/h2-7H"	"Benzylidenecarbene"	2.466	"100930433"	"MESH:(100930433);PUBCHEM:(100930433);PUBMED:(null)"	70	120.081	207	3.442	836968496900213248	836967507988159488	836967507988159488	1533	NA	NA	NA	1533
"[CH]1[CH][CH][C]([CH]1)C(=O)NCCNCCO"	1	1	"0.047"	"0.047"	-275.24	0.576	0.333	38.764	"C10H15N2O2"	"[M + H]+"	"C10H16N2O2+"	"CJCJQCDTFVTDAM"	"InChI=1S/C10H15N2O2/c13-8-7-11-5-6-12-10(14)9-3-1-2-4-9/h1-4,11,13H,5-8H2,(H,12,14)"	NA	0	"15605919"	"PUBCHEM:(15605919)"	2	196.121	103	1.723	836967761739368320	836967473670360448	836967473670360448	594	NA	NA	NA	594
"B(C(CC(C)C)NC(=O)C1(CC(=NO1)CNC(=O)C2=CN(N=C2)C)CC3=CC=CC=C3)(O)O"	1	1	"-Infinity"	"-Infinity"	-638.374	0.55	0	87.023	"C22H30BN5O5"	"[M + H]+"	"C22H31BN5O5+"	"MXCYVJHPYKPCLH"	"InChI=1S/C22H30BN5O5/c1-15(2)9-19(23(31)32)26-21(30)22(10-16-7-5-4-6-8-16)11-18(27-33-22)13-24-20(29)17-12-25-28(3)14-17/h4-8,12,14-15,19,31-32H,9-11,13H2,1-3H3,(H,24,29)(H,26,30)"	"[(1R)-1-[[5-benzyl-3-[[(1-methylpyrazole-4-carbonyl)amino]methyl]-4H-1,2-oxazole-5-carbonyl]amino]-3-methylbutyl]boronic acid"	1.723	"163398565"	"PUBCHEM:(163398565)"	2	455.244	203	3.386	836968406101919488	836967507241573248	836967507241573248	1513	NA	NA	NA	1513
"B(C(CCCN)NC(=O)C1(CCCC1)C(=O)NCCC2=CN=CC=C2)(O)O"	1	2	"0.029"	"0.029"	-561.288	0.113	0	50.492	"C18H29BN4O4"	"[M + H]+"	"C18H30BN4O4+"	"FMDUGMZLKRESQN"	"InChI=1S/C18H29BN4O4/c20-10-3-6-15(19(26)27)23-17(25)18(8-1-2-9-18)16(24)22-12-7-14-5-4-11-21-13-14/h4-5,11,13,15,26-27H,1-3,6-10,12,20H2,(H,22,24)(H,23,25)"	"[(1R)-4-amino-1-[[1-(2-pyridin-3-ylethylcarbamoyl)cyclopentanecarbonyl]amino]butyl]boronic acid"	0.647	"140392917"	"PUBCHEM:(140392917)"	2	376.239	210	3.498	836968482404698496	836967508994792448	836967508994792448	1561	NA	NA	NA	1561
"B(C1=CSC(=C1)C(=O)OC)(O)O"	1	5	"0.028"	"0.028"	-150.808	0.084	0.143	88.294	"C6H7BO4S"	"[M + H3N + H]+"	"C6H11BNO4S+"	"MGDKHNFETCRNRQ"	"InChI=1S/C6H7BO4S/c1-11-6(8)5-2-4(3-12-5)7(9)10/h2-3,9-10H,1H3"	"(5-(Methoxycarbonyl)thiophen-3-yl)boronic acid"	0.684	"44118616"	"PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(44118616);DSSTox:(DTXSID70656917)"	137506062338	203.053	36	0.593	836967691409274624	836967453583836672	836967453579642368	83	NA	NA	NA	83
"B1(C(CC2=C(O1)C(=CC=C2)C(=O)O)NC(=O)CN3CCN(CC3=O)CCNC(C)C)O"	1	1	"0.012"	"0.012"	-528.198	0.771	0	46.53	"C20H29BN4O6"	"[M - H2O + H]+"	"C20H28BN4O5+"	"RDAIYFXFUUCFDA"	"InChI=1S/C20H29BN4O6/c1-13(2)22-6-7-24-8-9-25(18(27)12-24)11-17(26)23-16-10-14-4-3-5-15(20(28)29)19(14)31-21(16)30/h3-5,13,16,22,30H,6-12H2,1-2H3,(H,23,26)(H,28,29)"	"2-Hydroxy-3-[[2-[2-oxo-4-[2-(propan-2-ylamino)ethyl]piperazin-1-yl]acetyl]amino]-3,4-dihydro-1,2-benzoxaborinine-8-carboxylic acid"	0.2	"123502618"	"PUBCHEM:(123502618)"	2	414.218	226	3.76	836968713468908800	836967514141204096	836967514137009792	1707	NA	NA	NA	1707
"B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)N)C(=O)NC"	1	2	"0.017"	"0.017"	-388.086	0.047	0.333	49.785	"C13H20BN3O3"	"[M + H]+"	"C13H21BN3O3+"	"NZFANPCJTCWJFS"	"InChI=1S/C13H20BN3O3/c1-12(2)13(3,4)20-14(19-12)8-6-9(11(18)16-5)10(15)17-7-8/h6-7H,1-5H3,(H2,15,17)(H,16,18)"	"2-Amino-N-methyl-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)nicotinamide"	1.206	"59612967"	"PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(59612967)"	67108866	277.171	181	3.01	836968134097106432	836967499847014528	836967499847014528	1311	NA	NA	NA	1311
"B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)NCCNC(=O)O"	1	1	"0.005"	"0.005"	-432.506	1	0.333	121.983	"C15H23BN2O4"	"[M - H2O + H]+"	"C15H22BN2O3+"	"MDTVCDVHJBNZAZ"	"InChI=1S/C15H23BN2O4/c1-14(2)15(3,4)22-16(21-14)11-6-5-7-12(10-11)17-8-9-18-13(19)20/h5-7,10,17-18H,8-9H2,1-4H3,(H,19,20)"	"2-[3-(4,4,5,5-Tetramethyl-1,3,2-dioxaborolan-2-yl)anilino]ethylcarbamic acid"	2.073	"141435207"	"PUBCHEM:(141435207)"	2	288.174	157	2.614	836969464480020736	836967492213380352	836967492213380352	1101	NA	NA	NA	1101
"B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2C)C3CN(C3)C(=O)OCC#N"	1	1	"0.010"	"0.010"	-361.013	0.507	0.146	40.729	"C16H23BN4O4"	"[M + H]+"	"C16H24BN4O4+"	"YNRSGBRWHLVCHI"	"InChI=1S/C16H23BN4O4/c1-11-13(17-24-15(2,3)16(4,5)25-17)10-21(19-11)12-8-20(9-12)14(22)23-7-6-18/h10,12H,7-9H2,1-5H3"	"Cyanomethyl 3-[3-methyl-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyrazol-1-yl]azetidine-1-carboxylate"	1.545	"153941460"	"PUBCHEM:(153941460)"	2	346.193	198	3.298	836968410086508288	836967505576434432	836967505576434432	1465	NA	NA	NA	1465
