"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_compoundId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
3	"C11H15ClF2N2"	"[M + H3N + H]+"	"C11H19ClF2N3+"	"Alkaloids"	0.895	"Nicotinic acid alkaloids"	0.59	"Pyridine alkaloids"	0.59	"Benzenoids"	0.716	"Benzene and substituted derivatives"	0.686	"Halobenzenes"	0.631	"Chlorobenzenes"	0.621	"Chlorobenzenes"	0.621	"Organic compounds; Halobenzenes; Organohalogen compounds; Organonitrogen compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Organofluorides; Benzene and substituted derivatives; Benzenoids; Amines; Aryl halides; Alkyl halides; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	266.123	24	0.402	836967634022802944	836967448550671488	836967448529699968	1	NA	1
1	"C16H25N3O5"	"[M + H3N + H]+"	"C16H29N4O5+"	"Amino acids and Peptides"	0.947	"Small peptides"	0.924	"Dipeptides"	0.818	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.997	"Amino acids, peptides, and analogues"	0.961	"Peptides"	0.614	"Dipeptides"	0.509	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	357.213	28	0.474	836967663236132480	836967449263703168	836967449259508864	6	NA	6
1	"C8H18N2"	"[M + H3N + H]+"	"C8H22N3+"	"Fatty acids"	0.652	"Fatty acyls"	0.624	"Acetate-derived alkaloids"	0.338	"Organic nitrogen compounds"	0.997	"Organonitrogen compounds"	0.994	NA	NA	NA	NA	"Organonitrogen compounds"	0.994	"Organic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	160.181	29	0.476	836967629300016384	836967449330812032	836967449326617728	7	NA	7
1	"C9H21N3O5"	"[M - H2O + H]+"	"C9H20N3O4+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Dipeptides"	0.999	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.999	"Peptides"	0.98	"Dipeptides"	0.937	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	234.145	29	0.476	836967633808893440	836967449460835456	836967449456641152	8	NA	8
1	"C10H23N3O5"	"[M - H2O + H]+"	"C10H22N3O4+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Dipeptides"	0.996	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Peptides"	0.988	"Dipeptides"	0.941	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Hydroxy fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	248.16	29	0.476	836967634337375744	836967449532138624	836967449532138624	9	NA	9
1	"C12H18N4O3"	"[M + H3N + H]+"	"C12H22N5O3+"	"Amino acids and Peptides"	0.996	"Small peptides"	0.998	"Dipeptides"	0.847	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.987	"Amino acids and derivatives"	0.986	"N-acyl-alpha amino acids"	0.763	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Heterocyclic fatty acids; Substituted imidazoles; N-acyl-alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	284.172	29	0.476	836967636539385600	836967449674744960	836967449670550656	11	NA	11
1	"C11H18N2O5"	"[M + H3N + H]+"	"C11H22N3O5+"	"Amino acids and Peptides"	0.967	"Small peptides"	0.972	"Dipeptides"	0.607	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.978	"Amino acids and derivatives"	0.977	"N-acyl-alpha amino acids and derivatives"	0.532	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	276.155	29	0.477	836967663357767296	836967449611830400	836967449607636096	10	NA	10
1	"C5H14N2O3"	"[M - H2O + H]+"	"C5H13N2O2+"	"Amino acids and Peptides"	1	"Small peptides"	0.999	"Aminoacids"	1	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.997	"Amino acids and derivatives"	0.997	"L-alpha-amino acids"	0.675	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	133.097	29	0.48	836967629337765120	836967449733465216	836967449733465216	12	NA	12
1	"C6H16N2O3"	"[M - H2O + H]+"	"C6H15N2O2+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.999	"Amino acids and derivatives"	0.999	"L-alpha-amino acids"	0.582	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	147.113	29	0.482	836967629434234112	836967449871877248	836967449867682944	14	NA	14
1	"C6H13NO3"	"[M - H2O + H]+"	"C6H12NO2+"	"Amino acids and Peptides"	1	"Small peptides"	1	"Aminoacids"	1	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	1	"Amino acids and derivatives"	1	"Alpha amino acids"	0.988	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	130.086	29	0.482	836967629409068288	836967449804768384	836967449800574080	13	NA	13
