formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C11H18ClF2N3	[M + H]+	C11H19ClF2N3+	0.341	0.332	13.848	13.848	0.000	3	0.447	-2.665	2.665	0.045		266.123	24	0.402	836967634022802957	836967448550671499	836967448529699978	1	
1	C16H25N3O5	[M + H3N + H]+	C16H29N4O5+	1.000	0.333	120.072	120.072	0.000	26	0.570	0.216	0.344	0.024		357.213	28	0.474	836967663236132460	836967449263703199	836967449259508894	6	
1	C8H18N2	[M + H3N + H]+	C8H22N3+	0.999	0.500	12.890	12.890	0.000	2	0.047	2.107	2.107	0.037		160.181	29	0.476	836967629300016426	836967449330812067	836967449326617762	7	
1	C9H21N3O5	[M - H2O + H]+	C9H20N3O4+	1.000	0.333	87.220	87.220	0.000	19	0.989	2.437	2.437	-76920.627		234.145	29	0.476	836967633808893397	836967449460835495	836967449456641190	8	
1	C10H23N3O5	[M - H2O + H]+	C10H22N3O4+	1.000	0.333	90.897	90.897	0.000	23	0.979	1.021	1.021	-72576.335		248.160	29	0.476	836967634337375782	836967449532138667	836967449532138666	9	
1	C12H18N4O3	[M + H3N + H]+	C12H22N5O3+	1.000	0.333	49.950	49.950	0.000	11	0.571	0.459	0.459	-0.162		284.172	29	0.476	836967636539385557	836967449674745011	836967449670550706	11	
1	C11H18N2O5	[M + H3N + H]+	C11H22N3O5+	1.000	0.333	72.724	72.724	0.000	15	0.460	0.462	0.499	0.209		276.155	29	0.477	836967663357767301	836967449611830447	836967449607636142	10	
1	C5H14N2O3	[M - H2O + H]+	C5H13N2O2+	1.000	0.333	48.312	48.312	0.000	5	0.975	2.800	2.800	-135318.199		133.097	29	0.480	836967629337765165	836967449733465271	836967449733465270	12	
1	C6H16N2O3	[M - H2O + H]+	C6H15N2O2+	1.000	0.333	80.758	77.819	2.939	10	0.962	5.333	5.333	-122426.856		147.113	29	0.482	836967629434234171	836967449871877311	836967449867683006	14	
1	C6H13NO3	[M - H2O + H]+	C6H12NO2+	1.000	0.333	45.046	42.149	2.898	4	0.976	7.898	7.898	-138449.937		130.086	29	0.482	836967629409068340	836967449804768443	836967449800574138	13	
1	C9H11N3O4	[M + H3N + H]+	C9H15N4O4+	1.000	0.333	70.077	70.077	0.000	10	0.645	0.205	0.676	-0.006		243.109	29	0.486	836967639055968164	836967449993512135	836967449993512134	16	
1	C6H11N3O3	[M - H2O + H]+	C6H10N3O2+	1.000	0.333	50.870	48.437	2.434	6	0.978	5.034	5.034	-115395.441		156.077	29	0.487	836967632298943834	836967450060621003	836967450056426698	17	
1	C7H16N2	[M + H3N + H]+	C7H20N3+	0.996	0.500	36.831	36.831	0.000	6	0.052	8.086	8.086	0.691		146.165	29	0.488	836967629098689831	836967449930597571	836967449930597570	15	
1	C7H4Cl2N2O4	[M + Na]+	C7H4Cl2N2NaO4+	0.999	0.996	23.436	23.436	0.000	5	0.691	2.014	2.390	1.218		272.944	29	0.489	836967639232128974	836967450312279259	836967450308084954	21	
