"samples"	"PC1"	"PC2"	"PC3"
"20260424_CVOL_Group_02_1F12_1.mzML"	-0.787142621780745	0.401005964528766	-0.0582126013883928
"20260424_CVOL_Group_02_1F12_2.mzML"	-0.86878285946627	0.138224739946869	0.0642438881547799
"20260424_CVOL_Group_02_1F12_3.mzML"	-0.836472202405313	-0.338012467979436	-0.0477909539096964
"20260424_CVOL_Group_02_1F12_4.mzML"	-0.850450806864087	-0.196484921726367	0.0262825414396398
"20260424_CVOL_Group_02_Delta_phzC_1.mzML"	0.3586331426932	-0.0265298865440208	0.0499882807240184
"20260424_CVOL_Group_02_Delta_phzC_2.mzML"	0.325795389094251	-0.0411940488378882	0.1095612806414
"20260424_CVOL_Group_02_Delta_phzC_3.mzML"	0.254284120107437	0.0238405291535785	0.106893080170944
"20260424_CVOL_Group_02_Delta_phzC_4.mzML"	0.327312262957242	-0.0499145405395721	0.034466735013259
"20260424_CVOL_Group_02_Delta_pvdE_1.mzML"	0.273294181772912	-0.0405718999407394	-0.136860421061994
"20260424_CVOL_Group_02_Delta_pvdE_2.mzML"	0.278877894672088	0.0168316822189034	-0.23234838928364
"20260424_CVOL_Group_02_Delta_pvdE_3.mzML"	0.278591900729592	-0.0115033165634556	-0.127809913152081
"20260424_CVOL_Group_02_Delta_pvdE_4.mzML"	0.294593732757164	0.0236394336964042	-0.153652856956959
"20260424_CVOL_Group_02_R47_1.mzML"	0.202193802859281	0.0493132615394424	0.150042930904561
"20260424_CVOL_Group_02_R47_2.mzML"	0.241199846541728	-0.0310264626497743	0.103530834864088
"20260424_CVOL_Group_02_R47_3.mzML"	0.219034818902729	0.0650812786458674	0.0604116796455043
"20260424_CVOL_Group_02_R47_4.mzML"	0.289037397428789	0.0173006550514222	0.0512538841945674
