"samples"	"LV1"	"LV2"
"20260424_CVOL_Group_02_1F12_1.mzML"	-2.37083663455922	-5.64256866011554
"20260424_CVOL_Group_02_1F12_2.mzML"	-1.90382736280748	-5.3172436034636
"20260424_CVOL_Group_02_1F12_3.mzML"	-1.35228106547439	-3.50066491926257
"20260424_CVOL_Group_02_1F12_4.mzML"	-1.55869653113467	-4.01893587170568
"20260424_CVOL_Group_02_Delta_phzC_1.mzML"	-7.067527441089	1.11799560596265
"20260424_CVOL_Group_02_Delta_phzC_2.mzML"	-7.40446496959532	0.811461122448437
"20260424_CVOL_Group_02_Delta_phzC_3.mzML"	-8.08846339344895	0.101976903974542
"20260424_CVOL_Group_02_Delta_phzC_4.mzML"	-8.11298703242447	1.05277191307505
"20260424_CVOL_Group_02_Delta_pvdE_1.mzML"	-7.9958904612888	0.333093007273921
"20260424_CVOL_Group_02_Delta_pvdE_2.mzML"	-7.90222078802285	0.444846714745293
"20260424_CVOL_Group_02_Delta_pvdE_3.mzML"	-8.05780190496187	0.405508687051483
"20260424_CVOL_Group_02_Delta_pvdE_4.mzML"	-7.36527304119645	0.489216221636332
"20260424_CVOL_Group_02_R47_1.mzML"	-7.49504495584268	-0.324598451507931
"20260424_CVOL_Group_02_R47_2.mzML"	-7.21699575943309	-0.016554110254701
"20260424_CVOL_Group_02_R47_3.mzML"	-7.8493364700309	-0.259927759878305
"20260424_CVOL_Group_02_R47_4.mzML"	-7.38752754026468	0.374453390475781
