"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1016_575.28_2.5",1016,575.283124632607,2.4686253,"C27H40N6O9"
"102_253.13_0.6",102,253.12954423438,0.6181521,"C11H18N4O4"
"1033_549.24_2.5",1033,549.242242376291,2.5108955,"C23H34N8O9"
"1055_584.38_2.5",1055,584.37723875833,2.5480509,"C27H51N7O8"
"1056_453.28_2.5",1056,453.282103402535,2.547698,"C21H38N6O6"
"1058_292.69_2.5",1058,292.692049619791,2.5488458,NA
"1059_547.25_2.6",1059,547.250141474096,2.551673,"C25H31N5O8"
"1061_585.38_2.5",1061,585.378791735212,2.5479276,"C28H50BN5O6"
"1062_334.18_2.6",1062,334.176022385249,2.5680525,"C17H23N3O4"
"1063_385.25_2.6",1063,385.24509550105,2.5908334,"C18H34N4O6"
"1068_334.18_2.6",1068,334.176051465574,2.5814667,"C17H25N3O5"
"1075_421.21_2.6",1075,421.208263237184,2.569068,"C20H30N4O7"
"1084_475.26_2.6",1084,475.256286032789,2.5861046,"C24H36N4O7"
"1102_268.66_2.6",1102,268.65845181276,2.6150668,NA
"1103_277.17_2.6",1103,277.171810472602,2.6154885,"C13H22BN3O4"
"1104_553.34_2.6",1104,553.336610430834,2.6154885,"C26H46N6O8"
"1124_701.24_2.7",1124,701.235482864089,2.656514,"C33H38N6O9"
"1126_360.19_2.7",1126,360.194141701351,2.7150533,"C16H26N2O4S"
"1131_358.14_2.7",1131,358.143251092318,2.6718972,"C18H21N3O6"
"1140_383.73_2.7",1140,383.726555091891,2.699322,NA
"1155_706.32_2.7",1155,706.323285506379,2.7444255,"C38H45N5O7"
"1172_319.14_2.8",1172,319.14465808681,2.752794,"C12H24N4O5S"
"1173_637.28_2.8",1173,637.282818946112,2.7524002,"C31H42N4O9"
"1175_756.4_2.8",1175,756.395243494786,2.754618,"C37H59N5O9"
"1189_239.06_2.8",1189,239.057924282985,2.7734325,"C11H8ClNO2"
"1190_222.03_2.8",1190,222.031470750626,2.7739367,"C11H10ClNO3"
"1199_120.04_2.8",1199,120.044552102339,2.802727,"C7H7NO2"
"1200_138.05_2.8",1200,138.054941795079,2.8031254,"C7H7NO2"
"1201_121.05_2.8",1201,121.047845956253,2.802166,NA
