	1F12_vs_phzC_fold_change_log2	1F12_vs_phzC_p_value	1F12_vs_pvdE_fold_change_log2	1F12_vs_pvdE_p_value	1F12_vs_R47_fold_change_log2	1F12_vs_R47_p_value	phzC_vs_pvdE_fold_change_log2	phzC_vs_pvdE_p_value	phzC_vs_R47_fold_change_log2	phzC_vs_R47_p_value	pvdE_vs_R47_fold_change_log2	pvdE_vs_R47_p_value
2-[3-carboxy-3-(methylammonio)propyl]-L-histidine	-0.519681279975438	0.00667187061878993	-0.607878170245213	0.00255277950385668	-0.381039313743098	0.0356248028320237	-0.0881968902697753	0.940892066873343	0.13864196623234	0.774369626197512	0.226838856502115	0.454769368683886
Lys-Ser-Cys	0.894494095282384	1.02844788241185e-08	0.913295723977281	7.56270268631454e-09	0.914725764128291	7.39038030772576e-09	0.0188016286948971	0.967855782429553	0.0202316688459071	0.960474427676081	0.00143004015101008	0.999984136558944
anthranilate	-0.614002466226697	8.81569681635552e-05	-0.69701971075668	3.29317698511966e-05	-0.514571935783182	0.00034036213744526	-0.0830172445299824	0.885586903342181	0.099430530443515	0.792811977003864	0.182447774973498	0.39033817015215
8-amino-7-oxononanoate	0.00948587542417255	0.999968310969733	-0.035534241225121	0.998428040446476	0.269089578553594	0.547082293556774	-0.0450201166492937	0.996795264650816	0.259603703129422	0.572254695857469	0.304623819778715	0.4573936719859
Desmethylisaridin G	0.945950924540015	9.9715924406496e-10	0.889677124790237	2.52551779489352e-09	0.874218592718017	3.25439286630314e-09	-0.0562737997497775	0.430997469513153	-0.0717323318219972	0.245355188477211	-0.0154585320722197	0.973949195097595
Propyl 3-methylbutanoate	0.135084341364755	0.917383881211192	-0.194009541615486	0.844439247454616	0.059997678048458	0.992235279913229	-0.329093882980241	0.490253241693004	-0.0750866633162974	0.982920906856305	0.254007219663944	0.698893939376198
phenazine-1-carboxylate	0.0435502933822248	0.853832795816493	0.899206560497536	1.7715529043727e-10	0.720325381639011	5.54062329349847e-09	0.855656267115311	2.92306845395274e-10	0.676775088256787	9.4000645045611e-09	-0.178881178858524	0.000523732518755371
farnesyl acetone	-0.55933139974411	0.00736160237103545	0.200456634300026	0.283959301208675	-0.603303398985008	0.00472219175993716	0.759788034044136	0.000336963690765857	-0.0439719992408984	0.993672281905191	-0.803760033285034	0.000228689329237697
2-pyridinylacetic acid	0.0600772511987604	0.977334749222138	0.252909688250493	0.318602153105098	0.0553454660838361	0.982167205161284	0.192832437051733	0.521070662777514	-0.00473178511492411	0.999987378084197	-0.197564222166657	0.503016579478331
Glu-Pro-His	0.875440165919758	8.03674904403806e-10	0.811597059785039	2.49464493506935e-09	0.820135549281415	2.14818407506812e-09	-0.0638431061347187	0.274446320691268	-0.0553046166383426	0.384698592408188	0.00853848949637611	0.994174981711797
Thr-Leu-Lys	0.879828624549791	4.32808803241258e-08	0.867907047046347	5.3279903489134e-08	0.803593470739962	1.6840274752461e-07	-0.0119215775034439	0.994009879475159	-0.0762351538098292	0.423546667209769	-0.0643135763063854	0.563033202478045
5-Hydroxytryptophol	-0.664260116443786	0.000156199143476976	-0.56588088661648	0.000505464718623339	-0.565210843217845	0.000509807474153967	0.0983792298273068	0.861699978753013	0.0990492732259414	0.859268384593554	0.000670043398634583	0.999999936515419
Thr-Ile-Pro	-0.826990233448999	3.25489715069516e-07	-0.794081488951744	4.54962076346099e-07	-0.6535848909204	2.32606655647949e-06	0.0329087444972555	0.984563681443909	0.1734053425286	0.264036349473894	0.140496598031344	0.42097579352945
Ile-Gly-Thr	-0.795471686138828	3.06399860150464e-07	-0.691692346384399	9.92509212816017e-07	-0.575000476577526	4.81312512623511e-06	0.103779339754429	0.640179607794244	0.220471209561302	0.0861631867343563	0.116691869806873	0.49309820535648
Leu-Thr-Thr	0.7326679869773	0.000356903221084837	0.638798696736452	0.00157253638665611	0.750853431485129	0.000268371457315952	-0.0938692902408483	0.786734375539755	0.0181854445078292	0.997492815350277	0.112054734748677	0.682394767808531
Val-Glu-Lys	-0.407543221144264	0.0791661098089178	-0.434333157293565	0.0611228007046459	-0.359850526770534	0.125463595028303	-0.0267899361493017	0.998671588913593	0.0476926943737294	0.992101872167686	0.0744826305230311	0.972146319867759
Glu-Ala-Met	0.862398359211244	1.05802845373759e-07	0.794445499457384	3.54480660602619e-07	0.815893633543048	2.40815965946162e-07	-0.0679528597538596	0.564419510026629	-0.0465047256681958	0.797510105583414	0.0214481340856639	0.975339598679915
kynurenic acid	-0.64982073647514	0.000141104560401062	-0.635397228089194	0.000166873029436854	-0.692936806855845	8.71533703448168e-05	0.0144235083859465	0.999416651697417	-0.0431160703807044	0.985993683113182	-0.0575395787666508	0.967585121754735
