"feature_id_full","feature_id","feature_mz","feature_rt","1F12_vs_phzC_p_value","1F12_vs_pvdE_p_value","1F12_vs_R47_p_value","phzC_vs_pvdE_p_value","phzC_vs_R47_p_value","pvdE_vs_R47_p_value","1F12_vs_phzC_p_value_minus_log10","1F12_vs_pvdE_p_value_minus_log10","1F12_vs_R47_p_value_minus_log10","phzC_vs_pvdE_p_value_minus_log10","phzC_vs_R47_p_value_minus_log10","pvdE_vs_R47_p_value_minus_log10","pvdE_vs_R47_fold_change","phzC_vs_R47_fold_change","1F12_vs_R47_fold_change","phzC_vs_pvdE_fold_change","1F12_vs_pvdE_fold_change","1F12_vs_phzC_fold_change","pvdE_vs_R47_fold_change_log2","phzC_vs_R47_fold_change_log2","1F12_vs_R47_fold_change_log2","phzC_vs_pvdE_fold_change_log2","1F12_vs_pvdE_fold_change_log2","1F12_vs_phzC_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"1797_492.28_3.9",1797,492.282193301991,3.9174623,3.27959881474271e-13,4.73954209212479e-13,8.65751914602697e-13,0.33317973360455,0.00222726091971193,0.0474535789928738,12.4841792792151,12.3242636153871,12.062606539339,0.477321423385882,2.65222890314851,1.3237310271094,0.963232411047424,0.942778527024574,1.86882378486902,0.978765369823251,1.94015874407387,1.98225111338403,-0.0540441578658502,-0.0850091951324916,0.902130540896393,-0.0309650372666413,0.956174698762243,0.987139736028885,"Amino acids and Peptides","Oligopeptides","Cyclic peptides","NCCBMFOAQHUUQL",NA,NA,"CC[C@H](C)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)N1C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C24H39N5O7/c1-6-14(4)20-23(35)27-19(13(2)3)22(34)26-15(9-10-18(31)32)21(33)25-12-17(30)29-11-7-8-16(29)24(36)28(20)5/h13-16,19-20H,6-12H2,1-5H3,(H,25,33)(H,26,34)(H,27,35)(H,31,32)","NCCBMFOAQHUUQL"
"1349_390.73_3.1",1349,390.734546556913,3.0764523,1.36701761022096e-12,1.51278989335424e-12,1.54476431646344e-12,0.94968998640695,0.916661885538205,0.999504099874392,11.8642258907193,11.8202213855876,11.8111377711694,0.0224181412013007,0.0377908260782617,0.000215420105970995,0.998427406775335,0.990854211598633,1.93252386542501,0.992414876509489,1.93556772611698,1.95036145863184,-0.00227055824711989,-0.0132552914373881,0.950486230614657,-0.0109847331902681,0.952756788861777,0.963741522052045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1356_676.36_3.1",1356,676.363959565281,3.0943272,2.62723176547297e-12,3.16702220004572e-12,4.2721381987576e-12,0.879372854207111,0.353135133140244,0.759676980821438,11.5805016135382,11.49934889232,11.3693547068252,0.0558269449592292,0.452059072666569,0.119371033071414,0.984448510948263,0.973106035252348,1.87897052012223,0.988478345419011,1.90865291503394,1.93090007877196,-0.0226123432472353,-0.0393310769335801,0.909942431948438,-0.0167187336863447,0.932554775195674,0.949273508882018,"Amino acids and Peptides","Oligopeptides","Linear peptides","3,9-bis[3-[hydroxy-[(1S)-1-hydroxyethyl]amino]propyl]-6-[3-[hydroxy-[(1R)-1-hydroxyethyl]amino]propyl]-1,4,7,10,13,16-hexazacyclooctadecane-2,5,8,11,14,17-hexone",NA,NA,"CC(N(CCCC1C(=O)NC(C(=O)NC(C(=O)NCC(=O)NCC(=O)NCC(=O)N1)CCCN(C(C)O)O)CCCN(C(C)O)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C27H51N9O12/c1-16(37)34(46)10-4-7-19-25(43)30-14-23(41)28-13-22(40)29-15-24(42)31-20(8-5-11-35(47)17(2)38)26(44)33-21(27(45)32-19)9-6-12-36(48)18(3)39/h16-21,37-39,46-48H,4-15H2,1-3H3,(H,28,41)(H,29,40)(H,30,43)(H,31,42)(H,32,45)(H,33,44)","XAXWYTGRMHAKGS"
"1793_492.78_3.9",1793,492.783032501166,3.9163072,2.79865020047509e-12,5.13422637737904e-12,2.85453882753472e-11,0.250589970815257,0.000969981849250345,0.0279622382339033,11.5530513800251,11.2895249864088,10.5444640453287,0.601036314454205,3.01323639237723,1.55342806848685,0.945864272156371,0.916225335847714,1.78618487211762,0.968664704671542,1.88841562653117,1.9495039072075,-0.0802949175970133,-0.126225637470784,0.836881408725774,-0.0459307198737703,0.917176326322788,0.963107046196558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1302_270.67_3",1302,270.673311861935,2.9971516,4.16222611931971e-12,6.15374418089232e-12,6.25655083297261e-12,0.73237755741034,0.7104698273764,0.999977529467836,11.3806743297695,11.2108605618968,11.2036650225458,0.135264972456337,0.14845436120193,9.7589377690622e-06,0.999349450711732,0.982341787479697,1.89315282435472,0.982981265242181,1.89438521530825,1.92718343908774,-0.000938849649146117,-0.0257030242064261,0.920790876989527,-0.0247641745572802,0.921729726638673,0.946493901195953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1303_421.28_3",1303,421.281120352743,3.0012732,6.02007332872745e-12,6.11932726712894e-12,2.68081112864138e-11,0.999977648939106,0.0663206918442506,0.0708543496268886,11.2203982186977,11.2132963197225,10.5717337823164,9.70705089293416e-06,1.1783509519606,1.14963348400547,0.952653905168191,0.952020484273671,1.84604126364091,0.999335098621773,1.93778795596811,1.93907725110486,-0.0699759101172507,-0.0709354790830259,0.88443480118779,-0.000959568965775079,0.954410711305041,0.955370280270816,"Amino acids and Peptides","Small peptides","Tripeptides","H-DL-Leu-DL-Pro-DL-xiIle-DL-Pro-OH",NA,"CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O|CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C1=O","CCC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)C2CCCN2C(=O)C(CC(C)C)N",NA,NA,NA,NA,"SZJNCZMRZAUNQT|ZDACRNZBFJOLTC","InChI=1S/C11H18N2O2/c1-7(2)6-8-11(15)13-5-3-4-9(13)10(14)12-8/h7-9H,3-6H2,1-2H3,(H,12,14)/t8-,9-/m0/s1|InChI=1S/C11H18N2O2/c1-3-7(2)9-11(15)13-6-4-5-8(13)10(14)12-9/h7-9H,3-6H2,1-2H3,(H,12,14)/t7-,8-,9-/m0/s1","SZJNCZMRZAUNQT-IUCAKERBSA-N|ZDACRNZBFJOLTC-CIUDSAMLSA-N","InChI=1S/C22H38N4O5/c1-5-14(4)18(21(29)26-11-7-9-17(26)22(30)31)24-19(27)16-8-6-10-25(16)20(28)15(23)12-13(2)3/h13-18H,5-12,23H2,1-4H3,(H,24,27)(H,30,31)","BAYFTTOREOSFMU"
"1308_540.34_3",1308,540.339761340905,3.0086977,1.91514581970864e-11,1.72373226803302e-11,2.65258925935541e-11,0.997853922894862,0.948100636456541,0.888666892450998,10.7177981531398,10.7635301883636,10.5763299932161,0.000933030981199737,0.0231455618833624,0.0512609993002504,0.986825551129452,0.990080772575025,1.90660534926138,1.00329867973306,1.93205916393147,1.9257068736954,-0.0191330241515166,-0.0143818672305417,0.931006249216593,0.00475115692097497,0.950139273368109,0.945388116447135,"Amino acids and Peptides","Oligopeptides","Cyclic peptides","Ac-D-Ser-Val-D-Leu-xiThr-D-Val-Me",NA,"CCC(C)C(NC(=O)NC(C(=O)O)C(C)C)C(=O)NC1C=CCCNC(=O)C=CC(C(C)C)NC1=O|CCC(C)C(NC(=O)NC(C(=O)NC1/C=C\CCNC(=O)/C=C\C(C(C)C)NC1=O)C(C)C)C(=O)O","CC(C)CC(C(=O)NC(C(C)O)C(=O)NC(C(C)C)C(=O)C)NC(=O)C(C(C)C)NC(=O)C(CO)NC(=O)C",NA,NA,NA,NA,"AXZPAGVFIVOODG|XQCDUALOSDLZKD","InChI=1S/C25H41N5O6/c1-7-16(6)21(30-25(36)29-20(15(4)5)24(34)35)23(33)28-18-10-8-9-13-26-19(31)12-11-17(14(2)3)27-22(18)32/h8,10-12,14-18,20-21H,7,9,13H2,1-6H3,(H,26,31)(H,27,32)(H,28,33)(H,34,35)(H2,29,30,36)|InChI=1S/C25H41N5O6/c1-7-16(6)21(24(34)35)30-25(36)29-20(15(4)5)23(33)28-18-10-8-9-13-26-19(31)12-11-17(14(2)3)27-22(18)32/h8,10-12,14-18,20-21H,7,9,13H2,1-6H3,(H,26,31)(H,27,32)(H,28,33)(H,34,35)(H2,29,30,36)/b10-8-,12-11-","AXZPAGVFIVOODG-UHFFFAOYSA-N|XQCDUALOSDLZKD-SIBMFBDYSA-N","InChI=1S/C26H47N5O8/c1-12(2)10-18(23(36)31-22(16(8)34)26(39)29-20(13(3)4)15(7)33)28-25(38)21(14(5)6)30-24(37)19(11-32)27-17(9)35/h12-14,16,18-22,32,34H,10-11H2,1-9H3,(H,27,35)(H,28,38)(H,29,39)(H,30,37)(H,31,36)","PTDPVNFQWPASGN"
"1754_637.36_3.8",1754,637.356010500026,3.828712,4.43397540905721e-11,6.14508444130024e-12,1.13515863375824e-11,0.0179373309984928,0.15757825147641,0.593557908370542,10.3532067198233,11.2114721449763,10.9449434433591,1.7462421777278,0.802503722858898,0.226536904242764,0.978088136535464,1.04166256022198,1.89900350867594,1.0649986655719,1.94154640848881,1.82305055513492,-0.0319636211071266,0.0588880016688672,0.92524257107177,0.0908516227759939,0.957206192178897,0.866354569402903,"Amino acids and Peptides","Oligopeptides","Linear peptides","BZAWTRJICJRXHU",NA,NA,"CC(C)C[C@@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)C(C)(C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)O)[C@@H](C)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C28H50N6O9/c1-15(2)11-18(14-35)30-25(40)22(17(5)36)32-21(37)13-29-26(41)28(6,7)33-23(38)19(12-16(3)4)31-24(39)20-9-8-10-34(20)27(42)43/h15-20,22,35-36H,8-14H2,1-7H3,(H,29,41)(H,30,40)(H,31,39)(H,32,37)(H,33,38)(H,42,43)","BZAWTRJICJRXHU"
"1325_327.69_3",1325,327.69498722607,3.0344265,8.54467607780407e-11,6.29110097349894e-11,1.56537671713863e-10,0.962877094184436,0.781137253166534,0.509809864805332,10.0683043964059,10.2012733442409,9.8053811300111,0.0164291445722513,0.107272649790211,0.292591765200469,0.971487630084671,0.980852003876632,1.88293902576139,1.00963921052823,1.9382017510581,1.91969738382491,-0.0417324687412996,-0.0278926234585958,0.912986282662738,0.0138398452827039,0.954718751404037,0.940878906121333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1796_983.56_3.9",1796,983.556157683074,3.9174204,5.83472381521233e-10,5.40201328114165e-10,1.39525302422783e-09,0.999215691415762,0.486561300290101,0.418571950019706,9.23397969632264,9.2674443524108,8.85534702747173,0.000340754536072221,0.312862436586532,0.378229878624728,0.963668103144234,0.96648073416043,1.82933856794914,1.00291867190272,1.898307687035,1.89278327367618,-0.0533917413726228,-0.0491871208659935,0.871322109038545,0.00420462050662924,0.924713850411167,0.920509229904538,"Amino acids and Peptides","Oligopeptides","Depsipeptides","2-[2-[[4-[[6-[2-(2-Hydroxyethoxy)ethoxy]cyclohexa-2,4-dien-1-yl]methyl-[2-[2-(2-hydroxyethoxy)ethoxy]ethyl]amino]-6-[2-[2-(2-hydroxyethoxy)ethoxy]ethyl-[[2-[2-(2-hydroxyethoxy)ethoxy]phenyl]methyl]amino]-1,3,5-triazin-2-yl]-[2-[2-(2-hydroxyethoxy)ethoxy]ethyl]amino]ethoxy]ethanol","[H]OC(=O)C([H])([H])C([H])([H])C([H])(N([H])C(=O)C(N([H])C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C1([H])N(C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])N([H])C(=O)C(N([H])C(=O)C(N([H])C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C(N([H])C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C(N([H])C(=O)C([H])(N([H])C(=O)C(N([H])C(=O)C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([H])([H])O[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])C(=O)N([H])[H]",NA,"C1=CC=C(C(=C1)CN(CCOCCOCCO)C2=NC(=NC(=N2)N(CCOCCO)CCOCCOCCO)N(CCOCCOCCO)CC3C=CC=CC3OCCOCCO)OCCOCCO","InChI=1S/C92H152N22O25/c1-28-91(26,80(137)102-56(39-42-63(120)121)68(125)100-55(37-40-60(93)117)67(124)98-54(47-115)45-53-34-31-30-32-35-53)112-79(136)89(22,23)109-72(129)64(49(5)6)103-71(128)59-36-33-43-114(59)82(139)90(24,25)108-70(127)58(44-48(3)4)99-62(119)46-95-73(130)83(10,11)111-81(138)92(27,29-2)113-78(135)88(20,21)107-69(126)57(38-41-61(94)118)101-76(133)86(16,17)110-77(134)87(18,19)106-66(123)51(8)97-75(132)85(14,15)105-65(122)50(7)96-74(131)84(12,13)104-52(9)116/h30-32,34-35,48-51,54-59,64,115H,28-29,33,36-47H2,1-27H3,(H2,93,117)(H2,94,118)(H,95,130)(H,96,131)(H,97,132)(H,98,124)(H,99,119)(H,100,125)(H,101,133)(H,102,137)(H,103,128)(H,104,116)(H,105,122)(H,106,123)(H,107,126)(H,108,127)(H,109,129)(H,110,134)(H,111,138)(H,112,136)(H,113,135)(H,120,121)",NA,"BKRCTRMBOFMKET-UHFFFAOYSA-N","BKRCTRMBOFMKET",NA,NA,NA,"InChI=1S/C47H80N6O17/c54-13-23-60-19-9-51(10-20-61-29-32-64-24-14-55)45-48-46(52(11-21-62-30-33-65-25-15-56)39-41-5-1-3-7-43(41)69-37-35-67-27-17-58)50-47(49-45)53(12-22-63-31-34-66-26-16-57)40-42-6-2-4-8-44(42)70-38-36-68-28-18-59/h1-8,41,43,54-59H,9-40H2","VEPMAPCGXLTRTC"
