"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","1F12_vs_phzC_p_value","1F12_vs_pvdE_p_value","1F12_vs_R47_p_value","phzC_vs_pvdE_p_value","phzC_vs_R47_p_value","pvdE_vs_R47_p_value","1F12_vs_phzC_p_value_minus_log10","1F12_vs_pvdE_p_value_minus_log10","1F12_vs_R47_p_value_minus_log10","phzC_vs_pvdE_p_value_minus_log10","phzC_vs_R47_p_value_minus_log10","pvdE_vs_R47_p_value_minus_log10","pvdE_vs_R47_fold_change","phzC_vs_R47_fold_change","1F12_vs_R47_fold_change","phzC_vs_pvdE_fold_change","1F12_vs_pvdE_fold_change","1F12_vs_phzC_fold_change","pvdE_vs_R47_fold_change_log2","phzC_vs_R47_fold_change_log2","1F12_vs_R47_fold_change_log2","phzC_vs_pvdE_fold_change_log2","1F12_vs_pvdE_fold_change_log2","1F12_vs_phzC_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","X1F12","X1F12.pval","phzC","phzC.pval","pvdE","pvdE.pval","R47","R47.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
102,"102_253.13_0.6","2-[3-carboxy-3-(methylammonio)propyl]-L-histidine_[102_253.13_0.6]",253.12954423438,0.6181521,0.00667187061878993,0.00255277950385668,0.0356248028320237,0.940892066873343,0.774369626197512,0.454769368683886,2.17575238414646,2.59298669572996,1.44824753061013,0.0264601932037795,0.111051690092116,0.342208795214665,1.17026791973993,1.10086836158716,0.767884209559832,0.9406977180335,0.656161035099109,0.697525913500453,0.226838856502115,0.13864196623234,-0.381039313743098,-0.0881968902697753,-0.607878170245213,-0.519681279975438,"2-[3-Carboxylato-3-(Methylammonio)Propyl]-L-Histidine Dizwitterion","2-[3-carboxy-3-(methylammonio)propyl]-L-histidine","CHEBI:16475",0.656,0.459,-272.251,61.953,1,"InChI=1S/C11H18N4O4/c1-13-8(11(18)19)2-3-9-14-5-6(15-9)4-7(12)10(16)17/h5,7-8,13H,2-4,12H2,1H3,(H,14,15)(H,16,17)(H,18,19)","YBMOTEQVMANKGX","C11H18N4O4","[M - H2O + H]+","CNC(CCC1=NC=C(N1)CC(C(=O)O)N)C(=O)O","Amino acids and Peptides","Dipeptides","Small peptides","230.151809184","InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)","TVIDDXQYHWJXFK-UHFFFAOYSA-N","TVIDDXQYHWJXFK","O=C(O)CCCCCCCCCCC(=O)O","C12H22O4","Dodecanedioic acid","http://www.wikidata.org/entity/Q5287812","Fatty acids","Fatty Acids and Conjugates","Fatty acids","Fatty Acids and Conjugates","Dicarboxylic acids","Pseudomonas aeruginosa","['Bacteria']","['Unknown']","['Proteobacteria']","['Gammaproteobacteria']","['Pseudomonadales']","['Pseudomonadaceae']","['Unknown']","['Pseudomonas']","['Pseudomonas aeruginosa']","nan","216671.0","http://www.wikidata.org/entity/Q31856",6,3.53033773977585,0.00199600798403194,-2.70119118427513,1,3.35372088325507,0.00199600798403194,-4.80740671595891e-17,0.674650698602794,3.14263505901119,0.00199600798403194,0.218573304473305,0.00598802395209581
137,"137_139.05_0.7","NA_[137_139.05_0.7]",139.05026589458,0.694982,0.0236132084614341,0.105549940990111,0.00184601494405645,0.819165267909324,0.47668345773506,0.139895207596007,1.62684499884138,0.976542005157616,2.73376478754901,0.0866284697899926,0.32176991905898,0.854197162922458,1.22378145615306,1.13013036247872,1.61076011106034,0.923474004934896,1.31621549171349,1.42528699744643,0.291345943426737,0.176489199590783,0.687741650870367,-0.114856743835954,0.39639570744363,0.511252451279584,"3-(4-oxo-4,5-dihydro-1H-imidazol-5-yl)propanoate(1-)",NA,NA,0.131,0.098,-111.917,63.213,1,"InChI=1S/C6H8N2O3/c9-5(10)2-1-4-6(11)8-3-7-4/h3,11H,1-2H2,(H,7,8)(H,9,10)","OWVUGOIAIJBQNX","C6H8N2O3","[M - H2O + H]+","C1=NC(=C(N1)CCC(=O)O)O","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34406227991274,0.125748502994012,1.00100150250438,0.231536926147705,0,0.512974051896208,0,0.526946107784431,1.41285987182396,0.13373253493014,0.0325121212121212,0.994011976047904
215,"215_126.07_0.9","NA_[215_126.07_0.9]",126.066360496492,0.8704248,2.11978945507951e-09,1.6709413852567e-09,2.73223799140965e-09,0.977114665942803,0.973159102325787,0.841153490491382,8.67370727257974,8.77703878440107,8.56348147415071,0.0100544681500864,0.0118161508791667,0.0751247485646043,1.03777775241298,1.01906794257864,0.557471372588712,0.981971274879584,0.537177995281277,0.547040436948779,0.0534975132310533,0.0272502410558573,-0.84303037359383,-0.0262472721751963,-0.896527886824883,-0.870280614649687,"2-Pyrimidinecarboxaldehyde",NA,NA,0.064,0.064,-81.198,36.557,0.128,"InChI=1S/C5H4N2O/c8-4-5-6-2-1-3-7-5/h1-4H","CCOXWRVWKFVFDG","C5H4N2O","[M + H3N + H]+","C1=CN=C(N=C1)C=O","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47067778473137,0.00199600798403194,1.07026883177989,0.155688622754491,2.88136606782406,0.00199600798403194,3.18226785571857,0.00199600798403194,4.4646105459033,0.00199600798403194,0.271545598845599,0.00199600798403194
250,"250_409.13_1","NA_[250_409.13_1]",409.133090596766,0.96225154,2.32898711427509e-09,1.80488979317772e-09,2.31628050073596e-09,0.97233826322383,0.9999997062683,0.973981916432917,8.63283291430547,8.74354931103034,8.63520884885422,0.0121826236588027,1.27566075140851e-07,0.0114491064338117,0.989450261498844,1.00023284249048,1.86682635267722,1.01089754726559,1.88673086997754,1.86639177736757,-0.0153009083750707,0.000335881604080453,0.900587738071641,0.0156367899791509,0.915888646446712,0.900251856467561,"(s)-Pyroglutamyl-(s)-glutamyl-(s)-glutamine",NA,NA,0.982,0.982,-147.183,61.805,1,"InChI=1S/C15H22N4O8/c16-10(20)4-1-9(15(26)27)19-14(25)8(3-6-12(22)23)18-13(24)7-2-5-11(21)17-7/h7-9H,1-6H2,(H2,16,20)(H,17,21)(H,18,24)(H,19,25)(H,22,23)(H,26,27)","MMSWFLMGRJKNOC","C15H22N4O8","[M + Na]+","C1CC(=O)NC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)N)C(=O)O","Amino acids and Peptides","Dipeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63736530665978,0.0518962075848303,-1.00100150250438,0.822355289421158,-1.00100150250438,0.774451097804391,0,0.584830339321357,0.807306107904692,0.169660678642715,0.0355611111111111,0.906187624750499
373,"373_364.16_1.3","Glu-Pro-His_[373_364.16_1.3]",364.161710681817,1.303598,8.03674904403806e-10,2.49464493506935e-09,2.14818407506812e-09,0.274446320691268,0.384698592408188,0.994174981711797,9.09491959276347,8.60299125914419,8.667928507255,0.561542587123905,0.414879402750827,0.00253717002544862,1.00593597842981,0.962391218358388,1.76557187015698,0.956712195402941,1.7551533179208,1.83456772721662,0.00853848949637611,-0.0553046166383426,0.820135549281415,-0.0638431061347187,0.811597059785039,0.875440165919758,"4-amino-5-[2-[[1-carboxy-2-(1H-imidazol-5-yl)ethyl]carbamoyl]pyrrolidin-1-yl]-5-oxopentanoic acid","Glu-Pro-His","CHEBI:163187",0.657,0.657,-158.614,63.449,1,"InChI=1S/C16H23N5O6/c17-10(3-4-13(22)23)15(25)21-5-1-2-12(21)14(24)20-11(16(26)27)6-9-7-18-8-19-9/h7-8,10-12H,1-6,17H2,(H,18,19)(H,20,24)(H,22,23)(H,26,27)","PAZQYODKOZHXGA","C16H23N5O6","[M - H2O + H]+","C1CC(N(C1)C(=O)C(CCC(=O)O)N)C(=O)NC(CC2=CN=CN2)C(=O)O","Amino acids and Peptides","Tripeptides","Small peptides","688.351750332","InChI=1S/C30H56O17/c1-32-13-16(35-4)19(37-6)21(17(36-5)14-33-2)45-30-27(42-11)23(40-9)24(25(47-30)28(31)43-12)46-29-26(41-10)22(39-8)20(38-7)18(44-29)15-34-3/h16-27,29-30H,13-15H2,1-12H3/t16-,17+,18+,19-,20+,21+,22-,23-,24-,25-,26+,27+,29-,30-/m0/s1","MAXFIJPNDKVFGB-SGQCBPMKSA-N","MAXFIJPNDKVFGB","COC[C@H](OC)[C@H](OC)[C@H](O[C@H]1O[C@H](C(=O)OC)[C@@H](O[C@@H]2O[C@H](COC)[C@@H](OC)[C@H](OC)[C@H]2OC)[C@H](OC)[C@H]1OC)[C@@H](COC)OC","C30H56O17","methyl (2S,3S,4S,5R,6S)-4,5-dimethoxy-6-[(2R,3R,4S,5S)-1,2,4,5,6-pentamethoxyhexan-3-yl]oxy-3-[(2S,3R,4S,5R,6R)-3,4,5-trimethoxy-6-(methoxymethyl)oxan-2-yl]oxyoxane-2-carboxylate","http://www.wikidata.org/entity/Q105160560","Polyketides","nan","Polyketides","Small peptides","Dipeptides","Pseudomonas","['Bacteria']","['Unknown']","['Proteobacteria']","['Gammaproteobacteria']","['Pseudomonadales']","['Pseudomonadaceae']","['Unknown']","['Pseudomonas']","['Unknown']","nan","281374.0","http://www.wikidata.org/entity/Q131143",6,2.35556899752399,0.0179640718562874,1.00100150250438,0.223552894211577,-1.00100150250438,0.782435129740519,0.301538758438308,0.31936127744511,1.55632041431995,0.0898203592814371,0.133726334776335,0.363273453093812
384,"384_343.23_1.3","Thr-Leu-Lys_[384_343.23_1.3]",343.233893642428,1.332388,4.32808803241258e-08,5.3279903489134e-08,1.6840274752461e-07,0.994009879475159,0.423546667209769,0.563033202478045,7.363703914352,7.2734365705152,6.77365082717697,0.00260929912358875,0.373098731271642,0.249465993731561,0.956400257567611,0.948529695803344,1.74544327391175,0.991770640271173,1.82501338754434,1.84015669897764,-0.0643135763063854,-0.0762351538098292,0.803593470739962,-0.0119215775034439,0.867907047046347,0.879828624549791,"6-amino-2-[2-(2-amino-3-hydroxybutanamido)-4-methylpentanamido]hexanoic acid","Thr-Leu-Lys","CHEBI:164029",0.094,0.094,-329.562,111.106,1,"InChI=1S/C16H32N4O5/c1-9(2)8-12(20-15(23)13(18)10(3)21)14(22)19-11(16(24)25)6-4-5-7-17/h9-13,21H,4-8,17-18H2,1-3H3,(H,19,22)(H,20,23)(H,24,25)","MECLEFZMPPOEAC","C16H32N4O5","[M - H2O + H]+","CC(C)CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(C(C)O)N","Amino acids and Peptides","Tripeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26693979201741,0.11377245508982,-1.00100150250438,0.858283433133733,0,0.572854291417166,1.00100150250438,0.241516966067864,0.632708666137081,0.235528942115768,0.0408926406926407,0.828343313373254
455,"455_160.08_1.5","5-Hydroxytryptophol_[455_160.08_1.5]",160.075814487562,1.4719013,0.000156199143476976,0.000505464718623339,0.000509807474153967,0.861699978753013,0.859268384593554,0.999999936515419,3.80632135191994,3.29630915271777,3.29259380174233,0.0646439177628512,0.0658711670846946,2.75710042499315e-08,1.00046454656096,1.07106740337192,0.675856635969845,1.0705700737259,0.675542814878408,0.631012234936964,0.000670043398634583,0.0990492732259414,-0.565210843217845,0.0983792298273068,-0.56588088661648,-0.664260116443786,"Hydroxytryptophol","5-Hydroxytryptophol","CHEBI:89825",0.599,0.384,-71.867,89.557,0.218,"InChI=1S/C10H11NO2/c12-4-3-7-6-11-10-2-1-8(13)5-9(7)10/h1-2,5-6,11-13H,3-4H2","KQROHCSYOGBQGJ","C10H11NO2","[M - H2O + H]+","C1=CC2=C(C=C1O)C(=CN2)CCO","Alkaloids","Simple indole alkaloids","Tryptophan alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38929674141367,0.00998003992015968,1.1562432251572,0.153692614770459,0,0.562874251497006,0.333370376544353,0.325349301397206,2.46584209308043,0.0399201596806387,0.105973953823954,0.487025948103792
488,"488_276.11_1.5","NA_[488_276.11_1.5]",276.108003090625,1.531491,3.49081556327846e-07,2.92111300814746e-07,1.04517266319437e-06,0.997480957679579,0.690933560000137,0.581226403432589,6.45707309646409,6.53445164129229,5.98081195789907,0.00109538642178535,0.160563712267763,0.235654665185063,1.08319642336408,1.07025038439584,0.615484283022686,0.988048299746018,0.568211147809352,0.575084383987516,0.115294880359161,0.0979483536996327,-0.700206078299056,-0.0173465266595281,-0.815500958658216,-0.798154431998688,NA,NA,NA,0.013,0.013,-258.792,109.807,1,"InChI=1S/C12H17N2O4/c1-12(2,3)18-11(15)13-8-6-7-9(16-4)14-10(8)17-5/h6-7H,1-5H3","FIKGFLLNIQUELG","C12H17N2O4","[M + Na]+","CC(C)(C)OC(=O)N=C1C=CC(=N[C]1OC)OC","Carbohydrates","Aminosugars","Aminosugars and aminoglycosides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63081044939268,0.00598802395209581,-1.73727046020804,0.996007984031936,2.53979941834066,0.00798403193612774,0.333370376544353,0.279441117764471,2.77433590164537,0.00798403193612774,0.205806132756133,0.0259481037924152
526,"526_312.19_1.6","Thr-Ile-Pro_[526_312.19_1.6]",312.192012352632,1.5966235,3.25489715069516e-07,4.54962076346099e-07,2.32606655647949e-06,0.984563681443909,0.264036349473894,0.42097579352945,6.48746272985808,6.34202480272759,5.63337786282415,0.0067561885098543,0.578336280367898,0.375742875752993,1.10228447401163,1.12771721335728,0.635698729009212,1.02307275476093,0.576710226803486,0.563704022142837,0.140496598031344,0.1734053425286,-0.6535848909204,0.0329087444972555,-0.794081488951744,-0.826990233448999,"1-[2-[(2-Amino-3-hydroxybutanoyl)amino]-3-methylpentanoyl]pyrrolidine-2-carboxylic acid","Thr-Ile-Pro","CHEBI:163996",0.604,0.604,-171.197,59.079,1,"InChI=1S/C15H27N3O5/c1-4-8(2)12(17-13(20)11(16)9(3)19)14(21)18-7-5-6-10(18)15(22)23/h8-12,19H,4-7,16H2,1-3H3,(H,17,20)(H,22,23)","YJCVECXVYHZOBK","C15H27N3O5","[M - H2O + H]+","CCC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)C(C(C)O)N","Amino acids and Peptides","Tripeptides","Small peptides","311.18450628","InChI=1S/C15H25N3O4/c1-9(2)12(16)14(20)17-7-3-5-10(17)13(19)18-8-4-6-11(18)15(21)22/h9-12H,3-8,16H2,1-2H3,(H,21,22)/t10-,11-,12-/m0/s1","DOFAQXCYFQKSHT-SRVKXCTJSA-N","DOFAQXCYFQKSHT","CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)O","C15H25N3O4","Val-pro-pro","http://www.wikidata.org/entity/Q27143860","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Tripeptides","Trypanosoma brucei","['Eukaryota']","['Unknown']","['Unknown']","['Unknown']","['Kinetoplastea']","['Unknown']","['Unknown']","['Trypanosoma']","['Trypanosoma brucei']","nan","494245.0","http://www.wikidata.org/entity/Q33244",0,2.66446832984185,0.00399201596806387,1.66911011857018,0.0518962075848303,0.632708666137081,0.245508982035928,0.471509312282999,0.265469061876248,2.20476589820115,0.0339321357285429,0.219074025974026,0.0139720558882236
528,"528_565.3_1.6","NA_[528_565.3_1.6]",565.296149531322,1.6022975,7.74153452454129e-09,2.02251194680869e-08,9.0014302123187e-08,0.549674032303578,0.0337595472615223,0.301758182096036,8.11117294506828,7.69410890436698,7.04568848123064,0.259894779486241,1.47160338619155,0.520340945287007,1.08377263847013,1.15479047637264,0.644222320043878,1.065528354732,0.594425709947124,0.557869443180264,0.116062129610874,0.207631114741766,-0.634369448977591,0.0915689851308917,-0.750431578588465,-0.842000563719357,"Ac-Aib-Ala-Aib-Ala-Aib-Aib-OH",NA,NA,0.062,0.062,-376.387,41.042,1,"InChI=1S/C24H42N6O8/c1-12(25-17(34)21(4,5)27-14(3)31)15(32)28-22(6,7)18(35)26-13(2)16(33)29-23(8,9)19(36)30-24(10,11)20(37)38/h12-13H,1-11H3,(H,25,34)(H,26,35)(H,27,31)(H,28,32)(H,29,33)(H,30,36)(H,37,38)","YQOWWUXSZUKINS","C24H42N6O8","[M + Na]+","CC(C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)O)NC(=O)C(C)(C)NC(=O)C","Amino acids and Peptides","Linear peptides","Oligopeptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17803420934516,0.0219560878243513,-1.00100150250438,0.868263473053892,-0.632708666137081,0.596806387225549,0.447303065060821,0.269461077844311,0.943993665254193,0.19560878243513,0.119534487734488,0.221556886227545
