feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality
1	PERAMQCFFJUXQW	sirius	CCNCCNCC1=CC(=C(C=C1F)Cl)F																																																																																												1.0	3.0	0.035	0.035	-125.548	0.314	0.332	13.848	C11H15ClF2N2	[M + H3N + H]+	C11H19ClF2N3+	InChI=1S/C11H15ClF2N2/c1-2-15-3-4-16-7-8-5-11(14)9(12)6-10(8)13/h5-6,15-16H,2-4,7H2,1H3	N'-[(4-chloro-2,5-difluorophenyl)methyl]-N-ethylethane-1,2-diamine	CCNCCNCC1=CC(=C(C=C1F)Cl)F	2.1	104377355	PUBCHEM:(104377355)	2.0	266.123	24.0	0.402	8.36967634022803e+17	8.369674485506715e+17	8.369674485297e+17	
6	FZSKAWRHNSBBBM	sirius	CCC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)C2CCC(=O)N2																																																																																												1.0	1.0	0.106	0.106	-364.947	1.0	0.333	120.072	C16H25N3O5	[M + H3N + H]+	C16H29N4O5+	InChI=1S/C16H25N3O5/c1-3-9(2)13(18-14(21)10-6-7-12(20)17-10)15(22)19-8-4-5-11(19)16(23)24/h9-11,13H,3-8H2,1-2H3,(H,17,20)(H,18,21)(H,23,24)	5-Oxo-L-prolyl-L-isoleucyl-L-proline	CCC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)C2CCC(=O)N2	0.38	71414184	LotusExpanded;PUBCHEM:(71414184);DSSTox:(DTXSID20833675)	146028888066.0	357.213	28.0	0.474	8.369676632361325e+17	8.369674492637032e+17	8.369674492595089e+17	
6	OVPYIUNCVSOVNF	isdb	CC[C@H](C)[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)O																																													-1.0							1.0	0.5796526	ISDB	http://www.wikidata.org/entity/Q111241567	OVPYIUNCVSOVNF-ZPFDUUQYSA-N	InChI=1S/C16H28N4O5/c1-3-9(2)13(18)14(22)19-10(6-7-12(17)21)15(23)20-8-4-5-11(20)16(24)25/h9-11,13H,3-8,18H2,1-2H3,(H2,17,21)(H,19,22)(H,24,25)/t9-,10-,11-,13-/m0/s1	CC[C@H](C)[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)O	C16H28N4O5		356.205969996	H-Ile-Gln-Pro-OH	Amino acids and Peptides	Small peptides	Tripeptides	http://www.wikidata.org/entity/Q17189730	Arthrospira platensis	827405.0	['Bacteria']	['Unknown']	['Cyanobacteria']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Arthrospira']	['Arthrospira platensis']		['Bacteria']									1.0	0.0	3.318610429763794	1.0																									
7	DDPRYTUJYNYJKV	sirius	CCN1CCN(CC1)CC																																																																																												1.0	1.0	0.051	0.051	-111.634	0.999	0.5	12.89	C8H18N2	[M + H3N + H]+	C8H22N3+	InChI=1S/C8H18N2/c1-3-9-5-7-10(4-2)8-6-9/h3-8H2,1-2H3	1,4-Diethylpiperazine	CCN1CCN(CC1)CC	0.8	28362361;7022583;80973	NORMAN:(NS00035748);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(28362361 7022583 80973);DSSTox:(DTXSID5073373)	137506324482.0	160.181	29.0	0.476	8.369676293000164e+17	8.36967449330812e+17	8.369674493266177e+17	
7	IHYJTAOFMMMOPX	gnps	CC(=O)NC(C(=O)O)C(C)C	CCMSLIB00016338526	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.771794	936708.0	0.0	523.631	6.0	0.0838318	160.181	0.0	temp/spectra_filtered.mgf7	1.0	Candidate Valine-C2:0 (delta mass:42.0104)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	160.097	160.097	0.0			CC(=O)NC(C(=O)O)C(C)C	InChI=1S/C7H13NO3/c1-4(2)6(7(10)11)8-5(3)9/h4,6H,1-3H3,(H,8,9)(H,10,11)		4.0	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	160.097	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		C7H13NO3	IHYJTAOFMMMOPX-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016338526																																																																								
8	ODDYSAQPSGQARN	sirius	CC(CO)(CO)NC(=NC(CO)(CO)CO)N																																																																																												1.0	1.0	0.022	0.022	-306.529	1.0	0.333	87.22	C9H21N3O5	[M - H2O + H]+	C9H20N3O4+	InChI=1S/C9H21N3O5/c1-8(2-13,3-14)11-7(10)12-9(4-15,5-16)6-17/h13-17H,2-6H2,1H3,(H3,10,11,12)	2-[1,3-Dihydroxy-2-(hydroxymethyl)propan-2-yl]-1-(1,3-dihydroxy-2-methylpropan-2-yl)guanidine	CC(CO)(CO)NC(=NC(CO)(CO)CO)N	-4.2	153764139	PUBCHEM:(153764139)	2.0	234.145	29.0	0.476	8.369676338088934e+17	8.369674494608355e+17	8.369674494566412e+17	
8	SBMNPABNWKXNBJ	isdb	NCCCC[C@H](NC(=O)[C@@H](N)CO)C(=O)O																																													22.0	Amino acids and Peptides	0.6233766233766234	Small peptides	0.6233766233766234	Dipeptides	0.3636363636363636	3.0	0.5050574	ISDB	http://www.wikidata.org/entity/Q82474609	SBMNPABNWKXNBJ-BQBZGAKWSA-N	InChI=1S/C9H19N3O4/c10-4-2-1-3-7(9(15)16)12-8(14)6(11)5-13/h6-7,13H,1-5,10-11H2,(H,12,14)(H,15,16)/t6-,7-/m0/s1	NCCCC[C@H](NC(=O)[C@@H](N)CO)C(=O)O	C9H19N3O4		233.137556088	L-Seryl-L-lysine	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q19610691	Bos taurus	490099.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Artiodactyla']	['Bovidae']	['Unknown']	['Bos']	['Bos taurus']											0.0	3.0	3.5202295780181885	1.0																									
9	GJLBLMRNQIBBJE	sirius	C(CCN)CC(C(=O)OCCCCON(O)O)N																																																																																												1.0	1.0	0.016	0.016	-368.77	1.0	0.333	90.897	C10H23N3O5	[M - H2O + H]+	C10H22N3O4+	InChI=1S/C10H23N3O5/c11-6-2-1-5-9(12)10(14)17-7-3-4-8-18-13(15)16/h9,15-16H,1-8,11-12H2	4-(Dihydroxyamino)oxybutyl 2,6-diaminohexanoate	C(CCN)CC(C(=O)OCCCCON(O)O)N	-0.8	89081457	PUBCHEM:(89081457)	2.0	248.16	29.0	0.476	8.369676343373757e+17	8.369674495321386e+17	8.369674495321386e+17	
9	YKRQRPFODDJQTC	isdb																																														22.0	Amino acids and Peptides	0.6233766233766234	Small peptides	0.6233766233766234	Dipeptides	0.3636363636363636	1.0	0.6722161	ISDB															['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0.0	0.0	2.6888644695281982	1.0																									
10	KOSRFJWDECSPRO	gnps	OC(=O)CCC(N)C(=O)NC(CCC(O)=O)C(O)=O	CCMSLIB00000218472	spectra_filtered.mgf	MASSBANK.mgf	0.852473	1978520.0	0.0	3048.89	7.0	0.844543	276.155	1.0	temp/spectra_filtered.mgf10	1.0	Massbank:KO002981 Glu-Glu	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	277.0	0.0	1.0	3929-61-1		OC(=O)CCC(N)C(=O)NC(CCC(O)=O)C(O)=O	1S/C10H16N2O7/c11-5(1-3-7(13)14)9(17)12-6(10(18)19)2-4-8(15)16/h5-6H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1		3.0	Positive	MASSBANK	277.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H16N2O7	KOSRFJWDECSPRO-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000218472																																																																								
