row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260428_CVOL_Group_02_1F12_1.mzML Peak area,20260428_CVOL_Group_02_1F12_2.mzML Peak area,20260428_CVOL_Group_02_1F12_3.mzML Peak area,20260428_CVOL_Group_02_1F12_4.mzML Peak area,20260428_CVOL_Group_02_Control_LB.mzML Peak area,20260428_CVOL_Group_02_Delta_phzC_1.mzML Peak area,20260428_CVOL_Group_02_Delta_phzC_2.mzML Peak area,20260428_CVOL_Group_02_Delta_phzC_3.mzML Peak area,20260428_CVOL_Group_02_Delta_phzC_4.mzML Peak area,20260428_CVOL_Group_02_Delta_pvdE_1.mzML Peak area,20260428_CVOL_Group_02_Delta_pvdE_2.mzML Peak area,20260428_CVOL_Group_02_Delta_pvdE_3.mzML Peak area,20260428_CVOL_Group_02_Delta_pvdE_4.mzML Peak area,20260428_CVOL_Group_02_QC_01.mzML Peak area,20260428_CVOL_Group_02_QC_02.mzML Peak area,20260428_CVOL_Group_02_QC_03.mzML Peak area,20260428_CVOL_Group_02_QC_04.mzML Peak area,20260428_CVOL_Group_02_QC_05.mzML Peak area,20260428_CVOL_Group_02_QC_06.mzML Peak area,20260428_CVOL_Group_02_R47_1.mzML Peak area,20260428_CVOL_Group_02_R47_2.mzML Peak area,20260428_CVOL_Group_02_R47_3.mzML Peak area,20260428_CVOL_Group_02_R47_4.mzML Peak area,20260428_CVOL_bk_mapp_pre_01.mzML Peak area,Unnamed: 37
1,297.0824536022017,0.48884472,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756913.8,
2,539.1634833673904,0.48884472,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6220402.5,
3,850.2514352521376,0.48020104,height,,,,,,,,,,,1152791.2,0.0,1221824.6,1149382.6,0.0,0.0,0.0,0.0,1159399.4,0.0,0.0,0.0,1112651.9,0.0,0.0,0.0,0.0,0.0,1316631.1,0.0,0.0,0.0,1187266.2,2824223.5,
4,425.3626122039863,0.49218234,height,,,,,,,,,,,3191079.2,2939549.2,2320550.5,3203654.8,4748258.5,3296469.8,2605163.2,3929770.2,3124727.8,2842453.0,3708347.5,3422763.5,1868500.0,7683127.5,6007220.5,6291990.0,5640881.5,5841678.5,4790138.5,2909312.0,2854231.5,3110959.0,3972973.0,0.0,
5,463.13073064065895,0.49299502,height,,,,,,,,,,,1290935.6,0.0,1049983.5,1050140.5,0.0,1108533.6,0.0,0.0,1150908.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231919.0,0.0,0.0,0.0,0.0,2775939.8,
6,405.1346231162984,0.52617687,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026147.1,1362309.4,2238968.2,1724424.0,1773979.4,1712677.2,1835192.1,1659227.1,1634321.8,1845457.1,1762447.2,3393900.5,1769508.6,3246280.2,0.0,
7,423.09110708641407,0.5269065,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3859802.2,2709060.2,3658939.2,3116480.5,2353652.5,2043651.4,2106798.5,2050549.0,1777561.1,1892999.4,3156989.5,5289863.5,3947938.0,4333982.0,0.0,
8,155.0468446634948,0.5301615,height,,,,,,,,,,,10457091.0,0.0,6458359.0,2168519.5,0.0,9098585.0,4959598.0,5810667.0,5313939.5,0.0,0.0,0.0,4524592.5,3252180.8,3143778.2,3511803.2,3939994.8,3296912.5,3549105.2,9574253.0,2680027.8,0.0,2930897.5,0.0,
9,127.01564085559014,0.53271854,height,,,,,,,,,,,2517774.5,0.0,1549176.4,0.0,0.0,2203389.5,1357381.5,1480557.2,1226991.8,0.0,0.0,0.0,1128284.9,0.0,0.0,0.0,0.0,0.0,0.0,2242052.8,0.0,0.0,0.0,0.0,
10,299.2772141183813,0.5713733,height,,,,,,,,,,,2317919.0,8591856.0,12229562.0,11648827.0,0.0,1341969.6,1468592.8,1133910.1,1492903.9,9080041.0,1924917.9,2097071.6,2725546.0,3939275.8,3577371.0,3367847.2,3451638.5,2591442.2,2899152.2,1619896.6,0.0,1127931.9,0.0,0.0,
11,211.08668402423004,0.5456265,height,,,,,,,,,,,0.0,0.0,0.0,0.0,2815675.2,0.0,1360864.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302754.1,0.0,0.0,
12,270.2427543361503,0.5556275,height,,,,,,,,,,,5444022.5,8554708.0,13754086.0,11436764.0,0.0,3116772.2,1287456.8,0.0,1112119.8,5985301.5,2139313.5,2817131.8,3852735.8,4091057.8,3881566.8,4226189.5,3913275.5,3981628.8,3688034.0,1926546.8,0.0,0.0,1129763.4,0.0,
13,318.2403576351463,0.5524402,height,,,,,,,,,,,7827417.5,5061932.5,4471283.0,4525074.0,1637335.8,2427063.0,0.0,1955149.6,1448525.4,4414519.0,9637846.0,11221182.0,9883994.0,4313810.0,3729181.8,3655289.2,3348303.8,3437452.5,2982989.0,2665936.8,2369320.8,2200015.0,2295821.5,0.0,
14,227.0713428845281,0.55711806,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8475907.0,6811048.0,8994683.0,6235572.0,4026464.8,3543490.8,4004444.8,4086460.2,4165344.2,3606344.0,6230727.5,6644708.5,7023965.5,5941745.5,0.0,
15,207.05546579365657,0.5562983,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,15623625.0,20609318.0,20755178.0,16666866.0,170948860.0,154082080.0,194345710.0,156398350.0,104511064.0,81695030.0,91271940.0,87145704.0,95227610.0,87767290.0,138115870.0,164635460.0,169769840.0,139616590.0,0.0,
16,179.06027690812348,0.55778646,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6979715.5,6743460.5,8497383.0,6691685.0,4471794.0,3560658.2,3865280.2,3583135.5,3911180.0,3915828.5,5768574.5,7202998.5,7086419.0,6482123.0,0.0,
17,227.0765751008321,0.55182445,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1952102.0,1701367.9,0.0,1703052.6,3114290.8,2849967.0,0.0,2718969.2,2354782.8,2442007.5,2727369.5,2307329.5,2407800.2,2525949.0,2763438.5,3134436.0,2641845.8,2895092.2,0.0,
18,171.0553286960745,0.55786407,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1334224.2,1117956.1,1196954.5,2750860.8,2269020.2,2835101.2,2444937.0,1847811.9,1485995.5,1793090.5,1648079.0,1587326.2,1749031.5,2050957.1,2619081.2,2414787.5,2340428.2,0.0,
19,225.06600116948675,0.5579236,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,85026140.0,115999020.0,113454910.0,90471540.0,897503000.0,785854000.0,1043051200.0,775532740.0,506947360.0,455570780.0,499408580.0,455634180.0,481743330.0,461537380.0,741767800.0,814489860.0,796074500.0,711507900.0,0.0,
20,320.2560076835912,0.5601888,height,,,,,,,,,,,6838487.0,6059673.5,6255268.0,5424735.5,3440429.8,4338248.0,3090187.0,2951357.0,2631258.8,14396672.0,9742525.0,11864064.0,10083774.0,7803514.0,5988578.0,6525715.0,6222213.5,5854948.0,5363946.0,4859655.5,3975003.0,4201542.0,3951621.0,0.0,
21,189.06589394659835,0.5600423,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1302995.1,1966976.2,1506952.9,1588445.8,3537118.5,3200494.0,3590173.8,2798308.2,1994226.4,2281511.2,2215106.8,2002100.4,2185544.2,2087331.0,2915305.5,3483712.8,2882512.0,2856869.5,0.0,
