SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00013576595	2101	spectra_filtered.mgf	CMMC-FOOD-BIOMARKERS.mgf	0.999044	201285000.0	0	0.586587	6	9.15527e-05	156.077	1	temp/spectra_filtered.mgf2101	1	histidine (known structural isomers: 0; isobaric peaks in run: 0)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Julius	[M+H]+	156.077	155.069	1	N/A	N/A	C1=C(NC=N1)C[C@@H](C(=O)O)N	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1 [M+H]+	1	Positive	CMMC-FOOD-BIOMARKERS	156.077	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H9N3O2	HNDVDQJCIGZPNO-YFKPBYRVSA-N	HNDVDQJCIGZPNO	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013576595
CCMSLIB00012357130	520	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.994871	311994000.0	0	3725.28	9	0.995056	268.104	1	temp/spectra_filtered.mgf520	1	3-DEAZAADENOSINE	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M+H]+	267.109	266.102	1	N/A	N/A	Nc1c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2ccn1	InChI=1S/C11H14N4O4/c12-10-7-5(1-2-13-10)15(4-14-7)11-9(18)8(17)6(3-16)19-11/h1-2,4,6,8-9,11,16-18H,3H2,(H2,12,13)/t6-,8-,9-,11-/m1/s1	DBZQFUNLCALWDY-PNHWDRBUSA-N	1	Positive	MSNLIB-POSITIVE	267.109	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H14N4O4	DBZQFUNLCALWDY-PNHWDRBUSA-N	DBZQFUNLCALWDY	N/A	N/A	N/A	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012357130
CCMSLIB00013583176	1477	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.994451	4161760.0	0	3.70706	6	0.000534058	144.066	1	temp/spectra_filtered.mgf1477	1	AMINOADIPATE	ESI	Orbitrap	Commercial	Aron	David Hattan	M-H2O+H	144.065	161.069	1	542-32-5	N/A	NC(CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	N/A	1	Positive	GNPS-LIBRARY	144.065	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H11NO4	OYIFNHCXNCRBQI-UHFFFAOYSA-N	OYIFNHCXNCRBQI	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013583176
CCMSLIB00012878895	416	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.993747	141659000.0	0	277.057	6	0.0360413	130.05	1	temp/spectra_filtered.mgf416	1	1-(dimethylamino)cyclopropanecarboxylic acid	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M+H]+	130.086	129.079	1	N/A	N/A	CN(C)C1(C(=O)O)CC1	InChI=1S/C6H11NO2/c1-7(2)6(3-4-6)5(8)9/h3-4H2,1-2H3,(H,8,9)	NQAIVVRCFAMKLM-UHFFFAOYSA-N	1	Positive	MSNLIB-POSITIVE	130.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H11NO2	NQAIVVRCFAMKLM-UHFFFAOYSA-N	NQAIVVRCFAMKLM	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012878895
CCMSLIB00012327886	264	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.9936	11471400.0	0	8034.13	6	1.02074	128.071	1	temp/spectra_filtered.mgf264	1	645-65-8	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M+H]+	127.05	126.043	1	N/A	N/A	O=C(O)Cc1cnc[nH]1	InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)	PRJKNHOMHKJCEJ-UHFFFAOYSA-N	1	Positive	MSNLIB-POSITIVE	127.05	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H6N2O2	PRJKNHOMHKJCEJ-UHFFFAOYSA-N	PRJKNHOMHKJCEJ	Organoheterocyclic compounds	Azoles	Imidazoles	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012327886
CCMSLIB00013583331	385	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.99227	2851830.0	0	1.45259	9	0.000366211	252.109	1	temp/spectra_filtered.mgf385	1	DEOXYADENOSINE	ESI	Orbitrap	Commercial	Aron	David Hattan	M+H	252.109	251.102	1	0958-09-08	N/A	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1	N/A	1	Positive	GNPS-LIBRARY	252.109	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C10H13N5O3	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	OLXZPDWKRNYJJZ	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides	Nucleosides	Purine nucleos(t)ides	Carbohydrates	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013583331
CCMSLIB00000220666	1009	spectra_filtered.mgf	MASSBANK.mgf	0.991921	168259000.0	0	474.586	8	0.09729	205.097	1	temp/spectra_filtered.mgf1009	1	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid	ESI	LC-ESI-QQ	Isolated	Putative Massbank Match	Massbank	[M+H]+	205.0	0.0	1	73-22-3	N/A	OC(=O)[C@H](N)Cc(c1)c(c2)c(ccc2)n1	1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	3	Positive	MASSBANK	205.0	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000220666
CCMSLIB00008851519	876	spectra_filtered.mgf	GNPS-LIBRARY.mgf	0.991844	5624250.0	0	3.10611	6	0.00050354	162.113	1	temp/spectra_filtered.mgf876	1	L-Carnitine	LC-ESI	Orbitrap	Commercial	Georg Pohnert	Muhaiminatul Azizah	M+H	162.113	161.105	1	541-15-1	10917	C[N+](C)(C)CC(CC(=O)[O-])O	1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1	 	3	Positive	GNPS-LIBRARY	162.113	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		N/A	PHIQHXFUZVPYII-UHFFFAOYSA-N	PHIQHXFUZVPYII	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00008851519
CCMSLIB00005464481	2240	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.991642	10387200.0	0	0.0	7	0.0	223.075	1	temp/spectra_filtered.mgf2240	1	CYSTATHIONINE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+H	223.075	222.067	1	56-88-2	N/A	N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O	"""InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1"""	N/A	1	Positive	GNPS-MSMLS	223.075	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H14N2O4S	ILRYLPWNYFXEMH-WHFBIAKZSA-N	ILRYLPWNYFXEMH	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005464481
CCMSLIB00003135371	879	spectra_filtered.mgf	GNPS-NIST14-MATCHES.mgf	0.991027	866035000.0	0	19.9368	6	0.00331116	166.086	1	temp/spectra_filtered.mgf879	1	Spectral Match to DL-Phenylalanine from NIST14	ESI	QQQ	Isolated	Data from Pieter Dorrestein	Data deposited by lfnothias	M+H	166.083	165.079	1	150301	N/A	C1=CC=C(C=C1)CC(C(=O)O)N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	N/A	3	Positive	GNPS-NIST14-MATCHES	166.083	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C9H11NO2	COLNVLDHVKWLRT-UHFFFAOYSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00003135371
