#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
2101	spectra_filtered.mgf	*..*		:156	405	-1	0	156.077	1	0.999044	0	0	54648600.0	201285000.0	histidine (known structural isomers: 0; isobaric peaks in run: 0) [M+H]+	CMMC-FOOD-BIOMARKERS	temp/spectra_filtered.mgf2101	-1	CMMC-FOOD-BIOMARKERS.mgf	0.586587				6	0	9.15527e-05	156.077	0	CCMSLIB00013576595
520	spectra_filtered.mgf	*..*		:44618	44618	-1	0	267.109	1	0.994871	0	0	104.818	311994000.0	3-DEAZAADENOSINE [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf520	-1	MSNLIB-POSITIVE.mgf	3725.28				9	0	0.995056	268.104	0	CCMSLIB00012357130
1477	spectra_filtered.mgf	*..*		:632	14918	-1	0	144.065	1	0.994451	0	0	7078240.0	4161760.0	AMINOADIPATE M-H2O+H	GNPS-LIBRARY	temp/spectra_filtered.mgf1477	-1	GNPS-LIBRARY.mgf	3.70706				6	0	0.000534058	144.066	0	CCMSLIB00013583176
416	spectra_filtered.mgf	*..*		:77367	177806	-1	0	130.086	1	0.993747	0	0	112.759	141659000.0	1-(dimethylamino)cyclopropanecarboxylic acid [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf416	-1	MSNLIB-POSITIVE.mgf	277.057				6	0	0.0360413	130.05	0	CCMSLIB00012878895
264	spectra_filtered.mgf	*..*		:30088	30088	-1	0	127.05	1	0.9936	0	0	123.616	11471400.0	645-65-8 [M+H]+	MSNLIB-POSITIVE	temp/spectra_filtered.mgf264	-1	MSNLIB-POSITIVE.mgf	8034.13				6	0	1.02074	128.071	0	CCMSLIB00012327886
385	spectra_filtered.mgf	*..*		:409	15073	-1	0	252.109	1	0.99227	0	0	1833810.0	2851830.0	DEOXYADENOSINE M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf385	-1	GNPS-LIBRARY.mgf	1.45259				9	0	0.000366211	252.109	0	CCMSLIB00013583331
1009	spectra_filtered.mgf	*..*		:9865	9865	-1	0	205.0	1	0.991921	0	0	58861400.0	168259000.0	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf1009	-1	MASSBANK.mgf	474.586				8	0	0.09729	205.097	0	CCMSLIB00000220666
876	spectra_filtered.mgf	*..*		:1	11312	-1	0	162.113	1	0.991844	0	0	16415400.0	5624250.0	L-Carnitine M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf876	-1	GNPS-LIBRARY.mgf	3.10611				6	0	0.00050354	162.113	0	CCMSLIB00008851519
2240	spectra_filtered.mgf	*..*		:26	730	-1	0	223.075	1	0.991642	0	0	4594820.0	10387200.0	CYSTATHIONINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf2240	-1	GNPS-MSMLS.mgf	0.0				7	0	0.0	223.075	0	CCMSLIB00005464481
879	spectra_filtered.mgf	*..*		:408	885	-1	0	166.083	1	0.991027	0	0	62554700.0	866035000.0	Spectral Match to DL-Phenylalanine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf879	-1	GNPS-NIST14-MATCHES.mgf	19.9368				6	0	0.00331116	166.086	0	CCMSLIB00003135371
