cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
1	297.0824536022017	0.48884472	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
2	539.1634833673904	0.48884472	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
3	850.2514352521376	0.48020104	0	880999.6000000001	0.0	289849.85	278162.975	296816.55	0	288197.8	0.0	305456.15	1152175.025
4	425.3626122039863	0.49218234	0	2913708.425	4748258.5	3239032.75	2960516.0	3211868.875	0	3059828.5	3026822.85	3196010.8	3042463.9
5	463.13073064065895	0.49299502	0	847764.9	0.0	564860.525	0.0	0.0	0	599867.3	0.0	262495.875	550262.25
6	405.1346231162984	0.52617687	0	0.0	0.0	0.0	1837962.175	2543034.125	0	947148.575	1189052.475	1002119.2000000001	1242676.05
7	423.09110708641407	0.5269065	0	0.0	0.0	0.0	3336070.5250000004	4182193.25	0	1754197.925	1999730.925	1901719.3	1862615.625
8	155.0468446634948	0.5301615	0	4770992.375	0.0	6295697.375	1131148.125	3796294.575	0	7282482.25	1909906.45	3067256.5	3734487.25
9	127.01564085559014	0.53271854	0	1016737.725	0.0	1567080.0	282071.225	560513.2	0	1740804.2	339345.375	757433.3999999999	588819.175
10	299.2772141183813	0.5713733	0	8697041.0	0.0	1359344.1	3956894.125	686957.125	0	3589956.55	2996341.675	4147118.9	3966819.225
11	211.08668402423004	0.5456265	0	0.0	2815675.2	340216.225	0.0	325688.525	0	0.0	340216.225	325688.525	0.0
12	270.2427543361503	0.5556275	0	9797395.125	0.0	1379087.2000000002	3698620.65	764077.55	0	4118160.75	2995369.575	4142804.45	4382845.75
13	318.2403576351463	0.5524402	0	5471426.75	1637335.8	1457684.5	8789385.25	2382773.525	0	4333734.075	4267274.825	4961907.4	4538353.725
