CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
280	286	1	0.9255	-0.036
1672	1914	2	0.9124	71.038
1910	1914	2	0.9292	0.437
210	738	3	0.9411	26.016
215	738	3	0.9435	-17.026
281	738	3	0.9262	-17.026
738	762	3	0.9081	-234.112
210	215	3	0.9126	43.042
215	281	3	0.9597	0.000
215	873	3	0.9351	12.000
210	281	3	0.9017	43.042
281	873	3	0.9132	12.000
747	762	3	0.9501	226.124
739	747	3	0.9151	92.093
1792	1935	4	0.9782	0.000
1792	2000	4	0.9109	-16.031
1792	2114	4	0.904	-2.016
1792	2141	4	0.9739	-0.000
1644	2310	4	0.9427	-18.021
1644	2320	4	0.911	-3.995
1644	2347	4	0.9427	-18.011
1644	2363	4	0.9051	24.000
1644	2387	4	0.9259	24.000
1944	2401	4	0.9676	26.052
1945	2401	4	0.9548	60.036
2055	2401	4	0.9549	44.008
2063	2401	4	0.9706	12.037
2235	2401	4	0.9565	76.031
2324	2401	4	0.9574	-15.995
2333	2401	4	0.9601	14.016
2362	2401	4	0.9532	42.011
2397	2401	4	0.9625	41.027
2401	2405	4	0.9493	30.010
1935	2000	4	0.9015	-16.031
2000	2114	4	0.9847	14.015
2000	2141	4	0.9196	16.031
2000	2387	4	0.9182	26.052
2363	2387	4	0.9266	0.000
1732	2293	4	0.9427	-18.011
1744	2327	4	0.9199	9.985
2292	2327	4	0.9184	-30.011
2327	2385	4	0.9111	-30.010
2159	2320	4	0.918	0.000
2159	2350	4	0.9074	58.006
1935	2141	4	0.9683	-0.000
2114	2141	4	0.9195	2.016
2114	2387	4	0.9214	12.037
1944	2333	4	0.9588	12.036
2063	2333	4	0.9534	-1.979
2209	2333	4	0.9237	-3.995
2333	2387	4	0.9468	14.016
2333	2397	4	0.9668	-27.011
2320	2356	4	0.9185	0.984
1944	2324	4	0.9699	42.047
1945	2324	4	0.9552	76.031
2055	2324	4	0.9679	60.003
2063	2324	4	0.9791	28.031
2235	2324	4	0.9539	92.026
2324	2362	4	0.9532	-58.006
2324	2397	4	0.9547	-57.021
2324	2403	4	0.9458	-43.006
2324	2405	4	0.9777	14.016
1743	2350	4	0.9378	-14.016
1743	2387	4	0.9014	-44.026
1732	2347	4	0.9018	111.032
2310	2347	4	1.0	0.011
2320	2347	4	0.9063	-14.016
1945	2209	4	0.9374	50.015
1944	2055	4	0.9651	-17.956
1945	2055	4	0.9693	16.028
2055	2063	4	0.974	31.972
2055	2235	4	0.9694	-32.023
2055	2362	4	0.9672	1.998
2055	2397	4	0.967	2.982
2055	2403	4	0.9577	16.997
2055	2405	4	0.9548	74.019
1401	2387	4	0.941	-45.021
2320	2387	4	0.9533	27.995
2350	2387	4	0.9336	-30.010
1841	2278	4	0.9126	-3.995
2278	2393	4	0.9316	27.995
1944	1945	4	0.9592	-33.984
1944	2063	4	0.9893	14.015
1944	2235	4	0.9604	-49.979
1944	2362	4	0.9491	-15.959
1944	2397	4	0.9629	-14.975
1944	2405	4	0.9419	56.063
1732	2310	4	0.9018	111.021
2310	2320	4	0.9063	14.026
1841	2320	4	0.9128	111.032
2320	2350	4	0.9048	58.006
2292	2394	4	0.9266	-15.995
1945	2063	4	0.9705	48.000
2063	2235	4	0.9684	-63.995
2063	2362	4	0.9522	-29.974
2063	2397	4	0.9603	-28.990
2063	2405	4	0.9621	42.047
1945	2235	4	0.9632	-15.995
2235	2362	4	0.9515	34.020
2235	2397	4	0.9546	35.005
2235	2403	4	0.9535	49.020
2235	2405	4	0.9414	106.042
1945	2397	4	0.9571	19.010
2362	2397	4	0.9676	0.984
2397	2403	4	0.9578	14.016
1578	1744	4	0.9015	14.016
1744	2350	4	0.9044	111.032
1841	2393	4	0.9403	24.000
1732	1841	4	0.9077	14.016
2259	2292	4	0.9298	14.016
1401	2350	4	0.9686	-15.011
1945	2403	4	0.9476	33.025
2362	2403	4	0.9514	15.000
2403	2405	4	0.9387	57.021
2362	2405	4	0.9463	72.021
1945	2362	4	0.9491	18.025
626	1016	5	0.911	42.047
663	1016	5	0.9086	42.047
703	1016	5	0.8968	42.047
769	1016	5	0.8778	76.031
1016	1136	5	0.9453	14.016
1016	1626	5	0.8564	-42.047
1016	2125	5	0.9674	-0.000
626	769	5	0.9416	-33.984
