feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
10	1.0	0.41824865	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	MREXZJBTRBHVNS	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.672994613647461	1	24	Fatty acids	0.64	Fatty amides	0.44	N-acyl amines	0.4
100	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q110167966	VFVAGPWBFWJBMN-HTQZYQBOSA-N	InChI=1S/C10H16N2O2S/c1-15-6-4-7-10(14)12-5-2-3-8(12)9(13)11-7/h7-8H,2-6H2,1H3,(H,11,13)/t7-,8-/m1/s1	CSCC[C@H]1NC(=O)[C@H]2CCCN2C1=O	C10H16N2O2S	pos_1_1proton	228.093248752	(3R,8aR)-3-(2-methylsulfanylethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione	VFVAGPWBFWJBMN	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q31856	Pseudomonas aeruginosa	216671.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas aeruginosa']	nan	['Bacteria']	nan	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	nan	['Pseudomonas']	nan	6	3	7.5	1	59	Amino acids and Peptides	0.25	Small peptides	0.25	Dipeptides	0.25
1000	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27149180	RUWSLQOIGKYPEZ-YPXRAQKDSA-N	InChI=1S/C24H39N5O6/c1-13(2)16-10-11-18(30)25-12-8-7-9-17(21(31)26-16)27-22(32)19(14(3)4)28-24(35)29-20(15(5)6)23(33)34/h7,9-11,13-17,19-20H,8,12H2,1-6H3,(H,25,30)(H,26,31)(H,27,32)(H,33,34)(H2,28,29,35)/b9-7+,11-10+/t16-,17+,19+,20+/m1/s1	CC(C)[C@H](NC(=O)N[C@H](C(=O)N[C@H]1/C=C/CCNC(=O)/C=C/[C@H](C(C)C)NC1=O)C(C)C)C(=O)O	C24H39N5O6	pos_1_1proton2acetonitrile	493.290033968	Syringolin A	RUWSLQOIGKYPEZ	Amino acids and Peptides	Oligopeptides	Cyclic peptides	http://www.wikidata.org/entity/Q311202	Pseudomonas syringae	413638.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas syringae']	nan	['Bacteria']	nan	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	nan	['Pseudomonas']	nan	6	3	7.5	1	56	Amino acids and Peptides	0.3333333333333333	Oligopeptides	0.3333333333333333	Cyclic peptides	0.3333333333333333
1003	1.0	0.3098492	ISDB	http://www.wikidata.org/entity/Q27141471	CGHXMODRYJISSK-NHCYSSNCSA-N	InChI=1S/C15H27N3O6/c1-7(2)5-9(16)13(21)18-12(8(3)4)14(22)17-10(15(23)24)6-11(19)20/h7-10,12H,5-6,16H2,1-4H3,(H,17,22)(H,18,21)(H,19,20)(H,23,24)/t9-,10-,12-/m0/s1	CC(C)C[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)C(C)C	C15H27N3O6	nan	345.189985584	Leu-Val-Asp	CGHXMODRYJISSK	Amino acids and Peptides	Small peptides	Tripeptides	http://www.wikidata.org/entity/Q33244	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	2.739396810531616	1	260	Amino acids and Peptides	0.8	Small peptides	0.8	Tripeptides	0.8
1004	1.0	0.2725373	ISDB	http://www.wikidata.org/entity/Q105252466	SGNVKVVRCUBSSV-SNVBAGLBSA-N	InChI=1S/C11H9NO2/c13-11-9-5-7-3-1-2-4-8(7)6-10(9)12-14-11/h1-5,10,12H,6H2/t10-/m1/s1	O=C1ON[C@@H]2Cc3ccccc3C=C12	C11H9NO2	nan	187.063328528	(9aR)-9,9a-dihydro-1H-benzo[f][2,1]benzoxazol-3-one	SGNVKVVRCUBSSV	Shikimates and Phenylpropanoids	nan	nan	http://www.wikidata.org/entity/Q15548072	Glehnia littoralis	622365.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Apiales']	['Apiaceae']	['Selineae']	['Glehnia']	['Glehnia littoralis']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.090149164199829	1	92	Amino acids and Peptides	0.25	Small peptides	0.25	Aminoacids	0.25
1005	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q425620	SUSQOBVLVYHIEX-UHFFFAOYSA-N	InChI=1S/C8H7N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6H2	N#CCc1ccccc1	C8H7N	pos_1_1proton1acetonitrile	117.057849224	Phenylacetonitrile	SUSQOBVLVYHIEX	Shikimates and Phenylpropanoids	nan	nan	http://www.wikidata.org/entity/Q31856	Pseudomonas aeruginosa	216671.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas aeruginosa']	nan	['Bacteria']	nan	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	nan	['Pseudomonas']	nan	6	1	6.5	1	524	Shikimates and Phenylpropanoids	0.5	nan	nan	nan	nan
1007	3.0	0.4222326	ISDB	http://www.wikidata.org/entity/Q82093153	IOEPOEDBBPRAEI-UHFFFAOYSA-N	InChI=1S/C9H9N/c1-2-4-9-7-10-6-5-8(9)3-1/h1-6,10H,7H2	C1=Cc2ccccc2CN1	C9H9N	nan	131.073499288	1,2-Dihydroisoquinoline	IOEPOEDBBPRAEI	Alkaloids	nan	nan	http://www.wikidata.org/entity/Q1885660	Neopetrosia similis	4939026.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Haplosclerida']	['Petrosiidae']	['Unknown']	['Neopetrosia']	['Neopetrosia similis']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	1	2.18893039226532	1	98	Alkaloids	1.0	Fatty Acids and Conjugates	0.5	Branched fatty acids	0.5
1009	1.0	0.50014704	ISDB	http://www.wikidata.org/entity/Q181003	QIVBCDIJIAJPQS-VIFPVBQESA-N	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	C11H12N2O2	nan	204.089877624	(2S)-2-azaniumyl-3-(1H-indol-3-yl)propanoate	QIVBCDIJIAJPQS	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q31856	Pseudomonas aeruginosa	216671.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Pseudomonas aeruginosa']	nan	['Bacteria']	nan	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	nan	['Pseudomonas']	nan	6	3	9.500588178634644	1	92	Amino acids and Peptides	0.25	Small peptides	0.25	Aminoacids	0.25
1011	1.0	0.7865606	ISDB	http://www.wikidata.org/entity/Q77565427	ZRJHYOXNWCMGMW-JGVFFNPUSA-N	InChI=1S/C11H19N5O2/c12-11(13)14-5-1-3-7-10(18)16-6-2-4-8(16)9(17)15-7/h7-8H,1-6H2,(H,15,17)(H4,12,13,14)/t7-,8+/m0/s1	N=C(N)NCCC[C@@H]1NC(=O)[C@H]2CCCN2C1=O	C11H19N5O2	nan	253.153874848	Amino({3-[(3s,8as)-1,4-Dioxooctahydropyrrolo[1,2-A]pyrazin-3-Yl]propyl}amino)methaniminium	ZRJHYOXNWCMGMW	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q131143	Pseudomonas	281374.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	['Unknown']	['Pseudomonas']	['Unknown']	nan	['Bacteria']	nan	['Proteobacteria']	['Gammaproteobacteria']	['Pseudomonadales']	['Pseudomonadaceae']	nan	['Pseudomonas']	nan	6	3	10.646242380142212	1	111	Amino acids and Peptides	0.6666666666666666	Small peptides	0.6666666666666666	Dipeptides	0.6666666666666666
1013	1.0	0.34910008	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	KAFIOMPFBSDFPP	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.3964003324508667	1	-1	nan	nan	nan	nan	nan	nan
