row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260428_CVOL_Group_02_1F12_1.mzML Peak height,20260428_CVOL_Group_02_1F12_2.mzML Peak height,20260428_CVOL_Group_02_1F12_3.mzML Peak height,20260428_CVOL_Group_02_1F12_4.mzML Peak height,20260428_CVOL_Group_02_Control_LB.mzML Peak height,20260428_CVOL_Group_02_Delta_phzC_1.mzML Peak height,20260428_CVOL_Group_02_Delta_phzC_2.mzML Peak height,20260428_CVOL_Group_02_Delta_phzC_3.mzML Peak height,20260428_CVOL_Group_02_Delta_phzC_4.mzML Peak height,20260428_CVOL_Group_02_Delta_pvdE_1.mzML Peak height,20260428_CVOL_Group_02_Delta_pvdE_2.mzML Peak height,20260428_CVOL_Group_02_Delta_pvdE_3.mzML Peak height,20260428_CVOL_Group_02_Delta_pvdE_4.mzML Peak height,20260428_CVOL_Group_02_QC_01.mzML Peak height,20260428_CVOL_Group_02_QC_02.mzML Peak height,20260428_CVOL_Group_02_QC_03.mzML Peak height,20260428_CVOL_Group_02_QC_04.mzML Peak height,20260428_CVOL_Group_02_QC_05.mzML Peak height,20260428_CVOL_Group_02_QC_06.mzML Peak height,20260428_CVOL_Group_02_R47_1.mzML Peak height,20260428_CVOL_Group_02_R47_2.mzML Peak height,20260428_CVOL_Group_02_R47_3.mzML Peak height,20260428_CVOL_Group_02_R47_4.mzML Peak height,20260428_CVOL_bk_mapp_pre_01.mzML Peak height,
1,297.0824536022017,0.48884472,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756913.8,
2,539.1634833673904,0.48884472,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6220402.5,
3,850.2514352521376,0.48020104,,,,,,,,,,,1152791.2,0,1221824.6,1149382.6,0,0,0,0,1159399.4,0,0,0,1112651.9,0,0,0,0,0,1316631.1,0,0,0,1187266.2,2824223.5,
4,425.3626122039863,0.49218234,,,,,,,,,,,3191079.2,2939549.2,2320550.5,3203654.8,4748258.5,3296469.8,2605163.2,3929770.2,3124727.8,2842453.0,3708347.5,3422763.5,1868500.0,7683127.5,6007220.5,6291990.0,5640881.5,5841678.5,4790138.5,2909312.0,2854231.5,3110959.0,3972973.0,0,
5,463.13073064065895,0.49299502,,,,,,,,,,,1290935.6,0,1049983.5,1050140.5,0,1108533.6,0,0,1150908.5,0,0,0,0,0,0,0,0,0,1231919.0,0,0,0,0,2775939.8,
6,405.13462311629837,0.52617687,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2026147.1,1362309.4,2238968.2,1724424.0,1773979.4,1712677.2,1835192.1,1659227.1,1634321.8,1845457.1,1762447.2,3393900.5,1769508.6,3246280.2,0,
7,423.09110708641407,0.5269065,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3859802.2,2709060.2,3658939.2,3116480.5,2353652.5,2043651.4,2106798.5,2050549.0,1777561.1,1892999.4,3156989.5,5289863.5,3947938.0,4333982.0,0,
8,155.0468446634948,0.5301615,,,,,,,,,,,1.0457091E7,0,6458359.0,2168519.5,0,9098585.0,4959598.0,5810667.0,5313939.5,0,0,0,4524592.5,3252180.8,3143778.2,3511803.2,3939994.8,3296912.5,3549105.2,9574253.0,2680027.8,0,2930897.5,0,
9,127.01564085559014,0.53271854,,,,,,,,,,,2517774.5,0,1549176.4,0,0,2203389.5,1357381.5,1480557.2,1226991.8,0,0,0,1128284.9,0,0,0,0,0,0,2242052.8,0,0,0,0,
10,299.2772141183813,0.5713733,,,,,,,,,,,2317919.0,8591856.0,1.2229562E7,1.1648827E7,0,1341969.6,1468592.8,1133910.1,1492903.9,9080041.0,1924917.9,2097071.6,2725546.0,3939275.8,3577371.0,3367847.2,3451638.5,2591442.2,2899152.2,1619896.6,0,1127931.9,0,0,
11,211.08668402423004,0.5456265,,,,,,,,,,,0,0,0,0,2815675.2,0,1360864.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302754.1,0,0,
12,270.2427543361503,0.5556275,,,,,,,,,,,5444022.5,8554708.0,1.3754086E7,1.1436764E7,0,3116772.2,1287456.8,0,1112119.8,5985301.5,2139313.5,2817131.8,3852735.8,4091057.8,3881566.8,4226189.5,3913275.5,3981628.8,3688034.0,1926546.8,0,0,1129763.4,0,
13,318.2403576351463,0.5524402,,,,,,,,,,,7827417.5,5061932.5,4471283.0,4525074.0,1637335.8,2427063.0,0,1955149.6,1448525.4,4414519.0,9637846.0,1.1221182E7,9883994.0,4313810.0,3729181.8,3655289.2,3348303.8,3437452.5,2982989.0,2665936.8,2369320.8,2200015.0,2295821.5,0,
14,227.07134288452806,0.55711806,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8475907.0,6811048.0,8994683.0,6235572.0,4026464.8,3543490.8,4004444.8,4086460.2,4165344.2,3606344.0,6230727.5,6644708.5,7023965.5,5941745.5,0,
15,207.05546579365657,0.5562983,,,,,,,,,,,0,0,0,0,0,1.5623625E7,2.0609318E7,2.0755178E7,1.6666866E7,1.7094886E8,1.5408208E8,1.9434571E8,1.5639835E8,1.04511064E8,8.169503E7,9.127194E7,8.7145704E7,9.522761E7,8.776729E7,1.3811587E8,1.6463546E8,1.6976984E8,1.3961659E8,0,
16,179.06027690812348,0.55778646,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6979715.5,6743460.5,8497383.0,6691685.0,4471794.0,3560658.2,3865280.2,3583135.5,3911180.0,3915828.5,5768574.5,7202998.5,7086419.0,6482123.0,0,
17,227.07657510083212,0.55182445,,,,,,,,,,,0,0,0,0,0,1952102.0,1701367.9,0,1703052.6,3114290.8,2849967.0,0,2718969.2,2354782.8,2442007.5,2727369.5,2307329.5,2407800.2,2525949.0,2763438.5,3134436.0,2641845.8,2895092.2,0,
18,171.0553286960745,0.55786407,,,,,,,,,,,0,0,0,0,0,0,1334224.2,1117956.1,1196954.5,2750860.8,2269020.2,2835101.2,2444937.0,1847811.9,1485995.5,1793090.5,1648079.0,1587326.2,1749031.5,2050957.1,2619081.2,2414787.5,2340428.2,0,
19,225.06600116948673,0.5579236,,,,,,,,,,,0,0,0,0,0,8.502614E7,1.1599902E8,1.1345491E8,9.047154E7,8.97503E8,7.85854E8,1.0430512E9,7.7553274E8,5.0694736E8,4.5557078E8,4.9940858E8,4.5563418E8,4.8174333E8,4.6153738E8,7.417678E8,8.1448986E8,7.960745E8,7.115079E8,0,
20,320.2560076835912,0.5601888,,,,,,,,,,,6838487.0,6059673.5,6255268.0,5424735.5,3440429.8,4338248.0,3090187.0,2951357.0,2631258.8,1.4396672E7,9742525.0,1.1864064E7,1.0083774E7,7803514.0,5988578.0,6525715.0,6222213.5,5854948.0,5363946.0,4859655.5,3975003.0,4201542.0,3951621.0,0,
21,189.06589394659835,0.5600423,,,,,,,,,,,0,0,0,0,0,1302995.1,1966976.2,1506952.9,1588445.8,3537118.5,3200494.0,3590173.8,2798308.2,1994226.4,2281511.2,2215106.8,2002100.4,2185544.2,2087331.0,2915305.5,3483712.8,2882512.0,2856869.5,0,
22,281.26680885383814,0.5643288,,,,,,,,,,,3.1430966E7,1.1616974E7,1.3930862E7,9943994.0,5861589.5,1.1463095E7,6849332.5,6403347.5,6522301.5,2.0761668E7,2.2775348E7,2.0865324E7,2.8616064E7,1.4044486E7,1.1795828E7,1.4401212E7,1.2740558E7,1.1360554E7,1.1893024E7,6891285.0,5271832.0,6055473.5,5836878.0,0,
23,254.24780304893252,0.57599163,,,,,,,,,,,3066869.8,0,1675834.6,1631642.0,0,2065955.4,0,0,0,0,1507368.8,1435936.2,2092669.6,1318626.0,1330630.4,0,1033656.9,1273452.5,1280377.9,0,0,0,0,0,
24,241.0607368251791,0.5626819,,,,,,,,,,,0,0,0,0,0,1301164.2,1591888.8,1906614.0,1824558.0,1.1378056E7,9217297.0,1.4255966E7,1.0189971E7,5128948.0,4895599.0,5466743.5,5146623.5,5955445.0,6801893.0,7931957.0,1.0197167E7,8364053.0,9678042.0,0,
25,158.06014063377626,0.56424385,,,,,,,,,,,0,0,0,0,1.9332288E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,227.01329093747825,0.56327355,,,,,,,,,,,0,0,0,0,0,3379179.5,3542602.5,4135520.2,0,3467003.8,3225115.0,2966568.2,2893533.0,1887299.1,1550933.9,1567024.9,1513522.2,1360805.9,1482758.2,0,1549505.2,2521873.8,2190171.0,0,
27,263.2369921047413,0.56488895,,,,,,,,,,,1.7310962E7,5975212.0,8318755.0,6283982.0,2849004.0,6282996.5,3930613.2,3445867.8,3309308.0,9790946.0,1.136366E7,1.1129009E7,1.4390583E7,8149709.0,6111278.5,6862426.5,6679174.0,6164458.5,6156896.0,3229212.0,2562206.5,3039412.5,3420312.8,0,
28,280.2635229159522,0.565328,,,,,,,,,,,1.5443384E8,5.637998E7,7.194444E7,5.011109E7,2.676387E7,5.706181E7,3.4808E7,3.1105184E7,3.027998E7,8.877387E7,1.0843623E8,1.0641577E8,1.2994922E8,7.234881E7,5.6853936E7,6.241336E7,6.033634E7,5.3298664E7,5.677847E7,3.3809684E7,2.2699094E7,2.6648488E7,3.0035908E7,0,
29,245.2264151480119,0.5647267,,,,,,,,,,,4395452.5,1746189.0,2101486.0,1573494.9,0,1791050.5,0,0,0,2500974.2,2744988.0,2439939.5,3405288.0,2106605.0,1482757.1,1625228.6,1698371.6,1515014.0,1722969.5,0,0,0,0,0,
30,297.2617732839644,0.5792371,,,,,,,,,,,1.8753412E7,1.3085162E7,1.4187991E7,1.891924E7,0,4215407.0,5422003.5,4719184.5,5832276.5,5135874.5,1.2415862E7,1.3231618E7,1.4880072E7,7357635.5,6566941.5,6216432.0,5832596.5,7210989.5,7646382.0,4012350.2,3675102.0,4210172.0,4400209.0,0,
31,266.24782097332815,0.57395625,,,,,,,,,,,4177233.0,1562810.2,2235017.2,1664809.4,0,2397915.0,1563886.0,0,0,2142069.0,2571755.5,2390848.5,3540031.0,1850075.8,1913395.4,1549975.1,1643606.5,1717911.8,2029834.6,1352140.9,0,0,0,0,
32,254.17502064359132,0.5726294,,,,,,,,,,,2268177.0,2705970.5,2589345.5,3184742.8,1945748.5,2352928.2,2752879.5,3118650.0,2758964.5,2144258.0,1842329.2,0,2305566.5,2385742.2,2021825.2,2042068.1,2038841.8,2118349.5,2446715.8,2157126.8,2136617.8,1676252.6,2250267.5,0,
33,205.17014745597874,0.5747751,,,,,,,,,,,0,0,0,0,2622798.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,278.2480206887413,0.5750274,,,,,,,,,,,2.2127688E7,1.0687897E7,1.6355352E7,1.5733973E7,6952692.5,1.5228819E7,1.113015E7,1.0490967E7,1.0252843E7,1.1266942E7,1.4371291E7,1.388841E7,1.9193848E7,1.3010678E7,1.1298962E7,1.1157892E7,1.0809309E7,1.2107993E7,1.2703812E7,1.0650968E7,8215172.5,8345621.0,1.1022881E7,0,
35,415.21160513605247,0.57513523,,,,,,,,,,,1.1191075E7,8955542.0,8882908.0,1.2905607E7,5567039.0,8355051.5,7720825.5,9687432.0,7217178.0,7197995.0,5243897.5,6056397.5,8468871.0,8682495.0,8362867.5,7485874.0,7716956.0,9600707.0,1.1144222E7,8050296.5,6549634.5,6247886.5,8805749.0,0,
36,298.2738621643734,0.57555634,,,,,,,,,,,1.1358696E7,4.2522684E7,6.2061024E7,5.9813276E7,0,7085647.0,6703159.0,5872155.5,7990462.0,3.8424436E7,1.038117E7,9724808.0,1.3157396E7,2.0355426E7,1.8010772E7,1.7809594E7,1.769521E7,1.4167393E7,1.4470809E7,7539118.5,4774475.0,5848049.5,6327561.0,0,
37,235.20566360386897,0.5789523,,,,,,,,,,,4459904.5,2062316.1,3106357.0,2033658.1,0,2545320.0,1581694.0,0,1236688.9,2044616.2,2530436.0,2315234.5,3511591.2,2173125.5,1958654.2,1838563.5,1970230.8,2146941.5,2206767.5,1860394.1,0,0,1326213.0,0,
38,296.2584365944408,0.57630545,,,,,,,,,,,8.8824056E7,6.5569476E7,7.106105E7,9.873034E7,4286551.0,2.0064342E7,2.388474E7,2.0688672E7,2.6870708E7,2.6369128E7,5.586929E7,6.556486E7,7.10688E7,3.7397748E7,3.2637072E7,3.2482486E7,3.1317342E7,3.452625E7,3.6001156E7,1.8742834E7,1.735344E7,1.9841356E7,2.3610944E7,0,
39,279.23208863747175,0.578622,,,,,,,,,,,6565085.5,5514362.5,6567740.5,9448831.0,0,2050090.9,2447778.5,2168371.8,2847650.0,2463788.5,4285467.0,5062004.5,5873214.5,3776536.2,3557389.5,2948723.8,3086157.2,3439275.8,3583960.5,2148834.2,0,2059446.8,2241869.0,0,
40,268.22714709400515,0.5782163,,,,,,,,,,,1.3236357E7,6506151.5,7464150.0,1.0075387E7,0,7013636.0,2949419.8,2193301.0,2724673.8,2815105.8,7825634.5,7694693.5,9597005.0,4528797.5,4090215.5,4100580.2,3999354.0,4608550.0,4695099.5,2190715.2,1877887.4,2008165.0,2199048.0,0,
41,241.12220693090543,0.5800458,,,,,,,,,,,0,0,0,0,0,2285432.2,2298216.5,2189056.2,3105724.0,1715903.4,1389857.2,1716753.5,1520219.2,1415300.6,1354030.9,1004617.5,1322310.6,1635930.4,1512018.6,0,1704430.5,1136229.8,1771997.6,0,
42,314.2688745765514,0.5799247,,,,,,,,,,,1.3238882E7,1.3895743E7,1.7108612E7,2.2655002E7,0,7748511.0,8192436.0,7135590.5,6128257.0,7276870.0,9156559.0,1.0032316E7,1.3531034E7,9270958.0,9170399.0,7871546.5,7781191.0,9439229.0,1.0231878E7,5819844.5,4458359.5,5844586.0,6652071.0,0,
