formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C31H58FN3O13Si6	[M - H2O + H]+	C31H57FN3O12Si6+	Carbohydrates	0.925	Nucleosides	0.543	Pyrimidine nucleosides	0.775	Organic oxygen compounds	1.000	Organooxygen compounds	0.998	Carbohydrates and carbohydrate conjugates	0.753	Glycosyl compounds	0.609	Glycosyl compounds	0.609	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Halobenzenes; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Carboxylic acid esters; Diazines; Organofluorides; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Glycosyl compounds; Hydropyrimidines; Benzene and substituted derivatives; Benzenoids; Aryl halides; Vinylogous amides; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	850.251	29	0.480	839112036150600170	839111708759986970	839111708759986969	3	
1	C14H19ClN2O2S	[M - H2O + H]+	C14H18ClN2OS+	Alkaloids	0.532	Small peptides	0.091	Aminoacids	0.035	Benzenoids	0.846	Benzene and substituted derivatives	0.846	Halobenzenes	0.569	Chlorobenzenes	0.533	Chlorobenzenes	0.533	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.082	29	0.489	839111922677890653	839111708428636946	839111708395082513	1	
1	C17H32FN3O7Si4	[M + H3N + H]+	C17H36FN4O7Si4+	Carbohydrates	0.986	Nucleosides	0.913	Pyrimidine nucleosides	0.984	Organic acids and derivatives	0.893	Carboxylic acids and derivatives	0.624	Amino acids, peptides, and analogues	0.561	Amino acids and derivatives	0.562	Carbamate esters	0.583	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Pyrimidones; Carbamic acids and derivatives; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Aryl fluorides; Fluorobenzenes; Carbamate esters; Diazines; Organofluorides; Secondary alcohols; Carbonyl compounds; Halopyrimidines; Hydropyrimidines; Glycosylamines; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; 5'-deoxyribonucleosides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	539.163	29	0.489	839111992601138885	839111708650935062	839111708646740757	2	
1	C26H48O4	[M + H]+	C26H49O4+	Terpenoids	0.500	Sesquiterpenoids	0.207	Wax monoesters	0.059	Organic acids and derivatives	0.969	Carboxylic acids and derivatives	0.957	Dicarboxylic acids and derivatives	0.534			Dicarboxylic acids and derivatives	0.534	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	425.363	30	0.492	839111918559083640	839111708856455966	839111708856455965	4	
1	C12H38O7Si6	[M + H]+	C12H39O7Si6+	Fatty acids	0.934	Fatty acyls	0.734	Fatty alcohols	0.812	Organometallic compounds	0.755	Organometalloid compounds	0.755					Organometalloid compounds	0.755	Organic compounds; Organooxygen compounds; Organometallic compounds; Organometalloid compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	463.131	30	0.493	839111943691356002	839111708944536354	839111708940342049	5	
1	C25H18N4O3	[M - H2O + H]+	C25H17N4O2+	Alkaloids	0.965	Anthranilic acid alkaloids	0.790	Quinazoline alkaloids	0.438	Benzenoids	0.996	Benzene and substituted derivatives	0.793					Benzene and substituted derivatives	0.793	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	405.135	32	0.526	839111918345174063	839111709024228134	839111709020033829	6	
1	C19H16F4N4O2S	[M - H2O + H]+	C19H15F4N4OS+	Alkaloids	0.663	Anthranilic acid alkaloids	0.020	Pyridine alkaloids	0.010	Benzenoids	0.869	Benzene and substituted derivatives	0.702					Benzene and substituted derivatives	0.702	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Organofluorides; Secondary carboxylic acid amides; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	423.091	32	0.527	839111918521334886	839111709099725610	839111709095531305	7	
1	C9H8O	[M + Na]+	C9H8NaO+	Fatty acids	0.524	Fatty acyls	0.523	Fatty aldehydes	0.307	Organic oxygen compounds	0.984	Organooxygen compounds	0.956	Carbonyl compounds	0.795			Carbonyl compounds	0.795	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	155.047	32	0.533	839111915241388695	839111709171028782	839111709166834477	8	
1	C10H13FN2O3	[M - H2O + H]+	C10H12FN2O2+	Amino acids and Peptides	0.729	Small peptides	0.863	Aminoacids	0.255	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.983	Amino acids, peptides, and analogues	0.632	Amino acids and derivatives	0.628	Amino acids and derivatives	0.628	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	211.087	33	0.544	839111916264798998	839111709384938298	839111709380743993	11	
1	C20H33NO3	[M - H2O + H]+	C20H32NO2+	Fatty acids	0.934	Fatty amides	0.274	Sphingoid bases	0.054	Organic acids and derivatives	0.985	Carboxylic acids and derivatives	0.967	Amino acids, peptides, and analogues	0.646	Amino acids and derivatives	0.642	Amino acids and derivatives	0.642	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	318.240	33	0.553	839111919444081890	839111709527544642	839111709527544641	13	
